household_id,gt2,hh_workers,hispanic_status_of_head,num_workers,race_of_head,hh_income,age_of_head,recent_mover,seniors,VEHICL,hh_age_of_head,income,hh_size,hh_children,lcm_county_id,tenure_mover,serialno,tenure,sf_detached,hh_race_of_head,hh_cars,hh_seniors,block_id,gt55,hispanic_head,hh_type,hhsize,TAZ,HHT,sample_rate,chunk_id,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,auto_ownership,av,hh_work_auto_savings_ratio,num_under16_not_at_school,num_travel_active,num_travel_active_adults,num_travel_active_preschoolers,num_travel_active_children,num_travel_active_non_preschoolers,participates_in_jtf_model,joint_tour_frequency,num_hh_joint_tours
2409619,0,one,0,1.0,1,gt30-lt60,63,0,0.0,1,gt35-lt65,33100.0,one,no,6095,own not recent,2009001114147,1,no,white,one,no,60952521052005,1,no,2,1,1216,1,0.0,96,33.1,2,8.81,2.6029956228889968,0.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,1.0,0,1,1,0,0,1,False,0_tours,0
2651567,1,two or more,0,3.0,1,gt150,64,0,0.0,3,gt35-lt65,997000.0,four or more,no,6055,own not recent,2011001174045,1,yes,white,two or more,no,60552015001038,1,no,4,4,1315,4,0.0,98,997.0,4,12.86,18.942935371702138,1.0,4,4,0,0,0,0,1,1,True,False,False,False,3,0,3.0,0,4,4,0,0,4,True,0_tours,0
1114859,1,two or more,1,2.0,1,gt30-lt60,42,0,0.0,0,gt35-lt65,42000.0,two,no,6075,rent not recent,2013000180096,2,no,white,one,no,60750208001003,0,yes,7,2,101,4,0.0,100,42.0,2,8.81,8.610497557922818,0.0,2,2,0,0,0,0,0,0,True,False,True,False,0,0,0.70986176,0,2,2,0,0,2,True,0_tours,0
2647606,1,two or more,0,2.0,6,gt150,32,0,0.0,4,lt35,151050.0,four or more,no,6001,own not recent,2013000558736,1,yes,asian,two or more,no,60014372001015,0,no,3,4,811,4,0.0,102,151.05,4,12.86,13.524579961000732,2.0,4,4,0,0,0,0,0,2,True,False,False,False,4,0,1.886405,0,4,4,0,0,4,True,0_tours,0
2538172,1,none,0,0.0,1,gt100-lt150,77,0,1.0,2,gt65,132310.0,two,no,6097,own not recent,2012001414922,1,yes,white,two or more,yes,60971516021013,1,no,4,2,1353,4,0.0,104,132.31,4,12.86,4.578001108002962,2.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,0.0,0,2,2,0,0,2,True,0_tours,0
2262370,1,one,0,1.0,1,gt150,63,0,0.0,2,gt35-lt65,219320.0,two,no,6085,own not recent,2013000733526,1,yes,white,two or more,no,60855104003000,1,no,4,2,371,4,0.0,106,219.32,4,12.86,38.45268416204559,1.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,1.0,0,2,2,0,0,2,True,0_tours,0
2230734,0,one,0,1.0,1,gt60-lt100,30,0,0.0,2,lt35,73000.0,one,no,6085,rent not recent,2012000268659,2,yes,white,one,no,60855092014022,0,no,5,1,377,1,0.0,108,73.0,3,10.44,48.27880547852534,0.0,1,1,0,0,0,0,0,1,False,True,True,False,2,0,0.450855,0,1,1,0,0,1,False,0_tours,0
1520845,0,one,0,1.0,1,gt100-lt150,64,0,0.0,2,gt35-lt65,108500.0,one,no,6081,own not recent,2012001333620,1,yes,white,one,no,60816105003001,1,no,2,1,329,1,0.0,110,108.5,4,12.86,2.241157902718676,0.0,1,1,0,0,0,0,0,0,False,True,True,False,2,0,1.0,0,1,1,0,0,1,False,0_tours,0
284622,1,two or more,0,2.0,1,gt100-lt150,32,1,0.0,2,lt35,124004.0,two,no,6001,rent recent,2011000872980,2,no,white,two or more,no,60014033001040,0,no,7,2,946,4,0.0,112,124.004,4,12.86,10.035047200387535,0.0,2,2,0,0,0,0,0,2,True,False,True,False,2,0,0.6683499,0,2,2,0,0,2,True,0_tours,0
805084,1,one,0,1.0,2,gt60-lt100,65,0,2.0,2,gt65,94800.0,two,no,6013,own not recent,2012001287284,1,yes,black,two or more,yes,60133720007002,1,no,4,2,1065,4,0.0,114,94.8,3,10.44,12.320871632583756,1.0,2,2,0,0,0,0,0,0,True,False,True,False,2,0,1.0,0,2,2,0,0,2,True,0_tours,0
2700739,1,two or more,0,2.0,6,gt150,31,1,0.0,1,lt35,248000.0,two,no,6075,rent recent,2009000570490,2,no,asian,two or more,no,60750109002001,0,no,7,2,34,4,0.0,116,248.0,4,12.86,1.9854941044132446,0.0,2,2,0,0,0,0,0,2,True,False,True,False,0,0,0.5197325,0,2,2,0,0,2,True,0_tours,0
2565921,1,none,0,0.0,1,gt100-lt150,73,0,2.0,3,gt65,115800.0,two,no,6097,own not recent,2011000140082,1,yes,white,two or more,yes,60971526004008,1,no,4,2,1354,4,0.0,118,115.8,4,12.86,12.16956412272738,2.0,2,2,0,0,0,0,0,0,True,False,False,False,3,0,0.0,0,0,0,0,0,0,False,0_tours,0
1946877,1,one,1,1.0,1,gt100-lt150,46,0,0.0,2,gt35-lt65,120000.0,four or more,yes,6085,own not recent,2012001039444,1,yes,white,two or more,no,60855066062010,0,yes,3,4,502,4,0.0,120,120.0,4,12.86,4.161821356810094,3.0,2,2,2,1,1,0,0,0,True,False,False,False,2,0,1.0,0,4,2,1,2,3,True,0_tours,0
2305754,1,two or more,0,2.0,1,gt100-lt150,41,0,0.0,2,gt35-lt65,108400.0,four or more,yes,6095,own not recent,2010000645635,1,yes,white,one,no,60952526101000,0,no,3,4,1257,4,0.0,122,108.4,4,12.86,1.5458026437681684,2.0,2,2,2,0,2,0,0,0,True,False,False,False,2,0,2.0,0,4,2,0,2,4,True,0_tours,0
2267902,1,one,0,1.0,6,gt100-lt150,37,0,0.0,3,gt35-lt65,140000.0,two,no,6085,rent not recent,2010000268380,2,no,asian,two or more,no,60855107002000,0,no,7,2,366,4,0.0,124,140.0,4,12.86,3.6634290313905526,1.0,2,2,0,0,0,0,0,1,True,False,True,False,3,0,1.0,0,2,2,0,0,2,True,0_tours,0
2444894,0,none,0,0.0,1,lt30,82,0,1.0,1,gt65,14000.0,one,no,6097,rent not recent,2009001207106,2,no,white,none,yes,60971534042004,1,no,6,1,1385,1,0.0,126,14.0,1,6.01,2.2939102075888576,1.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,0.0,0,1,1,0,0,1,False,0_tours,0
2689611,0,one,1,1.0,8,gt60-lt100,44,0,0.0,1,gt35-lt65,60000.0,one,no,6013,rent not recent,2013000840968,2,no,other,two or more,no,60133730003013,0,yes,5,1,1064,1,0.0,128,60.0,2,8.81,7.1407387458799105,0.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,0.43630502,0,1,1,0,0,1,False,0_tours,0
683349,0,none,0,0.0,1,gt60-lt100,58,0,0.0,1,gt35-lt65,89300.0,one,no,6013,own not recent,2012001424230,1,yes,white,two or more,no,60133461023008,1,no,2,1,1164,1,0.0,130,89.3,3,10.44,5.80679866621673,1.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,0.0,0,1,1,0,0,1,False,0_tours,0
2369453,1,one,0,1.0,2,lt30,81,0,1.0,1,gt65,10900.0,two,no,6095,own not recent,2010001306277,1,yes,black,two or more,yes,60952502002014,1,no,4,2,1229,4,0.0,132,10.9,1,6.01,8.616971746509384,1.0,2,2,0,0,0,0,0,0,True,False,False,False,1,0,1.0,0,1,1,0,0,1,False,0_tours,0
2451583,1,one,0,1.0,1,gt60-lt100,35,1,0.0,2,gt35-lt65,95800.0,two,no,6097,rent recent,2010001155634,2,yes,white,two or more,no,60971536005005,0,no,7,2,1383,4,0.0,134,95.8,3,10.44,5.40406329442263,1.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,1.0,0,2,2,0,0,2,True,0_tours,0
908929,1,two or more,0,2.0,1,gt150,36,0,0.0,1,gt35-lt65,494000.0,two,no,6013,rent not recent,2009000051756,2,yes,white,two or more,no,60133211031001,0,no,7,2,1125,4,0.0,136,494.0,4,12.86,9.998227025620425,0.0,2,2,0,0,0,0,0,0,True,False,False,False,1,0,2.0,0,2,2,0,0,2,True,0_tours,0
2678779,0,none,0,0.0,1,lt30,67,0,1.0,0,gt65,12100.0,one,no,6085,rent not recent,2013001296747,2,no,white,none,yes,60855039031011,1,no,6,1,633,1,0.0,138,12.1,1,6.01,4.354480545846651,1.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,0.0,0,1,1,0,0,1,False,0_tours,0
2575820,1,two or more,0,2.0,1,gt150,51,0,0.0,2,gt35-lt65,215500.0,three,yes,6097,own not recent,2010001239859,1,yes,white,two or more,no,60971529031005,0,no,3,3,1372,4,0.0,140,215.5,4,12.86,16.168775604593012,1.0,2,2,1,0,1,0,0,0,True,False,False,False,2,0,1.3995,0,3,2,0,1,3,True,0_tours,0
850915,1,none,1,0.0,1,lt30,39,0,0.0,3,gt35-lt65,16400.0,two,no,6013,rent not recent,2011000394461,2,no,white,one,no,60133050004024,0,yes,7,2,1189,4,0.0,142,16.4,1,6.01,11.234091616952611,2.0,2,2,0,0,0,0,0,0,True,False,False,False,3,0,0.0,0,2,2,0,0,2,True,0_tours,0
