trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum
87039769,265365,104910,10879971,eatout,1,True,1,eatout,863,833,,10.0,SHARED3FREE,0.21246596816590754
87039773,265365,104910,10879971,eatout,1,False,2,shopping,838,863,13.496797012389873,10.0,SHARED3FREE,0.3543832207977553
87039774,265365,104910,10879971,eatout,2,False,2,Home,833,838,,11.0,DRIVEALONEFREE,0.14821867737257366
87039793,265365,104910,10879974,escort,1,True,1,escort,832,833,,8.0,SHARED3FREE,0.48684481947602465
87039797,265365,104910,10879974,escort,1,False,1,Home,833,832,,8.0,SHARED3FREE,0.48767908963785145
87039801,265365,104910,10879975,escort,1,True,1,escort,832,833,,15.0,SHARED3FREE,0.48767908963785145
87039805,265365,104910,10879975,escort,1,False,1,Home,833,832,,16.0,SHARED2FREE,0.4652654677267771
87039809,265365,104910,10879976,escort,1,True,1,escort,836,833,,16.0,SHARED3FREE,0.3248967823730976
87039813,265365,104910,10879976,escort,1,False,1,Home,833,836,,16.0,SHARED3FREE,0.3248967823730976
87040577,265367,104910,10880072,othdiscr,1,True,1,othdiscr,837,833,,7.0,BIKE,-1.7835346416791382
87040581,265367,104910,10880072,othdiscr,1,False,1,Home,833,837,,11.0,BIKE,-1.783534646308979
87040689,265367,104910,10880086,work,1,True,1,work,831,833,,11.0,BIKE,-1.4572467810315777
87040693,265367,104910,10880086,work,1,False,1,Home,833,831,,18.0,BIKE,-1.457246144931995
87041281,265369,104910,10880160,school,1,True,1,school,833,833,,8.0,WALK,-1.1493656469991642
87041285,265369,104910,10880160,school,1,False,1,Home,833,833,,15.0,WALK,-1.1493656469991642
87467089,266667,105191,10933386,work,1,True,1,work,873,833,,9.0,DRIVEALONEFREE,-0.5099960179460566
87467093,266667,105191,10933386,work,1,False,1,Home,833,873,,18.0,DRIVEALONEFREE,-0.5333637341793077
87467681,266669,105191,10933460,school,1,True,1,school,833,833,,7.0,WALK,-1.1490403977938517
87467685,266669,105191,10933460,school,1,False,1,Home,833,833,,16.0,WALK,-1.1490403977938517
94537545,288224,112601,11817193,escort,1,True,1,escort,839,823,,8.0,SHARED2FREE,0.5356944552267051
94537549,288224,112601,11817193,escort,1,False,1,Home,823,839,,8.0,DRIVEALONEFREE,0.5346176496270416
94537553,288224,112601,11817194,escort,1,True,1,escort,805,823,,15.0,DRIVEALONEFREE,0.21006894256899467
94537557,288224,112601,11817194,escort,1,False,1,Home,823,805,,15.0,SHARED2FREE,0.21006894256899467
94537721,288224,112601,11817215,univ,1,True,3,social,848,823,11.40002649139336,9.0,DRIVEALONEFREE,-0.35659276186318717
94537722,288224,112601,11817215,univ,2,True,3,eatout,828,848,12.036648467199846,10.0,DRIVEALONEFREE,-0.3104700107843086
94537723,288224,112601,11817215,univ,3,True,3,univ,821,828,,10.0,DRIVEALONEFREE,-0.3341228351784497
94537725,288224,112601,11817215,univ,1,False,1,Home,823,821,,13.0,DRIVEALONEFREE,-0.21176214698781617
98876329,301452,117824,12359541,escort,1,True,1,escort,817,825,,7.0,SHARED2FREE,0.40976714630598227
98876333,301452,117824,12359541,escort,1,False,2,escort,824,817,14.056914292094042,10.0,SHARED2FREE,0.2781110735117534
98876334,301452,117824,12359541,escort,2,False,2,Home,825,824,,10.0,DRIVEALONEFREE,0.38357442682649223
98876337,301452,117824,12359542,escort,1,True,1,escort,837,825,,10.0,DRIVEALONEFREE,0.6236948319943434
98876341,301452,117824,12359542,escort,1,False,1,Home,825,837,,17.0,SHARED3FREE,0.5938890577908091
