alternative,probability_1,probability_2
120,0.0014748023205031508,0.0014748023205031508
121,0.00014785693422818635,0.00014785693422818635
122,0.00046534061617583503,0.00046534061617583503
123,5.2850346612185274e-05,5.2850346612185274e-05
124,2.4131121583933764e-05,2.4131121583933764e-05
125,3.82073651417023e-05,3.82073651417023e-05
126,0.0001206249042367747,0.0001206249042367747
127,0.001086879925530678,0.001086879925530678
128,4.0527215558827664e-05,4.0527215558827664e-05
129,0.0004907542884671458,0.0004907542884671458
130,5.796198515333491e-05,5.796198515333491e-05
131,0.00011767127616859055,0.00011767127616859055
132,0.0021894417761809293,0.0021894417761809293
133,0.002679219300944995,0.002679219300944995
134,8.925939463277868e-05,8.925939463277868e-05
135,0.00031233436670536827,0.00031233436670536827
136,5.711955621388686e-05,5.711955621388686e-05
137,0.0036254131851046955,0.0036254131851046955
138,0.0001869824486683371,0.0001869824486683371
139,3.099498125111361e-05,3.099498125111361e-05
140,0.0001699625828303632,0.0001699625828303632
141,0.0029409196746309173,0.0029409196746309173
142,0.00012749208618933761,0.00012749208618933761
143,0.00010553981621628714,0.00010553981621628714
144,8.388925455035728e-05,8.388925455035728e-05
145,1.3859372353933062e-05,1.3859372353933062e-05
146,0.000433329126791661,0.000433329126791661
147,0.0005005805889492981,0.0005005805889492981
148,0.00038023805117745217,0.00038023805117745217
149,0.0014273096397335793,0.0014273096397335793
150,2.599379816171062e-05,2.599379816171062e-05
151,0.0012874925056271585,0.0012874925056271585
152,2.5015538141534556e-05,2.5015538141534556e-05
153,9.275402330727679e-05,9.275402330727679e-05
154,4.382815883268068e-05,4.382815883268068e-05
155,1.685586928276283e-05,1.685586928276283e-05
156,2.924404088989947e-05,2.924404088989947e-05
157,1.465595562081599e-05,1.465595562081599e-05
158,2.7612629130177837e-05,2.7612629130177837e-05
159,2.9913798676687675e-05,2.9913798676687675e-05
160,3.7696362421733405e-05,3.7696362421733405e-05
161,8.650941233879281e-05,8.650941233879281e-05
162,5.213613092626264e-05,5.213613092626264e-05
163,0.0001235831329989228,0.0001235831329989228
164,0.00016594191991711141,0.00016594191991711141
165,0.0016157672507405687,0.0016157672507405687
166,0.0006662011527577476,0.0006662011527577476
167,0.0018801397688277496,0.0018801397688277496
168,0.0021462659151930148,0.0021462659151930148
169,0.000397898808194756,0.000397898808194756
170,0.00010979595276698749,0.00010979595276698749
171,0.0001098475830176701,0.0001098475830176701
172,2.599871879426477e-05,2.599871879426477e-05
173,0.0001524715595879716,0.0001524715595879716
174,0.0002732158464582773,0.0002732158464582773
175,0.00012289560813122803,0.00012289560813122803
176,0.0015731253348471124,0.0015731253348471124
177,0.00012927965066743903,0.00012927965066743903
178,0.001411073213768573,0.001411073213768573
