TAZ,size_term,TAZ,tour_type,TAZ_chooser,person_id
257,730.053,257,escort,961,511625
258,477.933,258,escort,961,511625
259,663.817,259,escort,961,511625
260,1031.294,260,escort,961,511625
261,406.148,261,escort,961,511625
262,484.71700000000004,262,escort,961,511625
263,261.48,263,escort,961,511625
264,478.744,264,escort,961,511625
265,379.89300000000003,265,escort,961,511625
266,1156.923,266,escort,961,511625
267,411.39,267,escort,961,511625
268,470.56500000000005,268,escort,961,511625
269,542.058,269,escort,961,511625
270,235.506,270,escort,961,511625
271,265.80300000000005,271,escort,961,511625
272,389.70300000000003,272,escort,961,511625
273,274.497,273,escort,961,511625
274,428.607,274,escort,961,511625
275,510.692,275,escort,961,511625
276,203.955,276,escort,961,511625
277,550.357,277,escort,961,511625
278,626.587,278,escort,961,511625
279,505.06600000000003,279,escort,961,511625
280,602.1890000000001,280,escort,961,511625
281,509.95300000000003,281,escort,961,511625
282,317.27000000000004,282,escort,961,511625
283,556.018,283,escort,961,511625
284,867.873,284,escort,961,511625
285,500.23300000000006,285,escort,961,511625
286,768.611,286,escort,961,511625
287,265.512,287,escort,961,511625
288,895.472,288,escort,961,511625
289,677.5100000000001,289,escort,961,511625
290,217.548,290,escort,961,511625
291,333.168,291,escort,961,511625
292,366.68300000000005,292,escort,961,511625
293,706.405,293,escort,961,511625
294,629.274,294,escort,961,511625
295,649.6320000000001,295,escort,961,511625
296,1178.059,296,escort,961,511625
297,454.289,297,escort,961,511625
298,1229.1660000000002,298,escort,961,511625
299,480.733,299,escort,961,511625
300,356.649,300,escort,961,511625
301,971.859,301,escort,961,511625
302,603.231,302,escort,961,511625
303,592.2750000000001,303,escort,961,511625
304,577.97,304,escort,961,511625
305,217.437,305,escort,961,511625
306,629.369,306,escort,961,511625
307,760.7950000000001,307,escort,961,511625
308,611.265,308,escort,961,511625
309,950.7800000000002,309,escort,961,511625
310,691.6080000000001,310,escort,961,511625
311,660.728,311,escort,961,511625
312,925.8140000000001,312,escort,961,511625
313,560.937,313,escort,961,511625
314,931.566,314,escort,961,511625
315,1364.3070000000002,315,escort,961,511625
316,390.418,316,escort,961,511625
317,938.191,317,escort,961,511625
318,391.2460000000001,318,escort,961,511625
319,347.99,319,escort,961,511625
320,513.0870000000001,320,escort,961,511625
321,501.307,321,escort,961,511625
322,766.763,322,escort,961,511625
323,602.157,323,escort,961,511625
324,514.581,324,escort,961,511625
325,1017.9960000000001,325,escort,961,511625
326,426.048,326,escort,961,511625
327,793.95,327,escort,961,511625
328,421.297,328,escort,961,511625
329,929.2610000000002,329,escort,961,511625
330,796.1370000000001,330,escort,961,511625
331,920.7880000000001,331,escort,961,511625
332,887.268,332,escort,961,511625
333,1658.4240000000002,333,escort,961,511625
334,957.6930000000001,334,escort,961,511625
335,859.2030000000001,335,escort,961,511625
336,641.74,336,escort,961,511625
337,286.98300000000006,337,escort,961,511625
338,266.805,338,escort,961,511625
339,930.2070000000001,339,escort,961,511625
340,416.922,340,escort,961,511625
341,691.062,341,escort,961,511625
342,658.321,342,escort,961,511625
343,383.40700000000004,343,escort,961,511625
344,578.493,344,escort,961,511625
345,495.3,345,escort,961,511625
346,499.70000000000005,346,escort,961,511625
347,908.4630000000001,347,escort,961,511625
348,8.814,348,escort,961,511625
349,1996.258,349,escort,961,511625
350,289.346,350,escort,961,511625
351,728.634,351,escort,961,511625
352,132.83200000000002,352,escort,961,511625
353,185.505,353,escort,961,511625
354,107.559,354,escort,961,511625
355,3179.2920000000004,355,escort,961,511625
356,1043.413,356,escort,961,511625
357,638.287,357,escort,961,511625
358,902.5029999999999,358,escort,961,511625
359,407.04,359,escort,961,511625
360,589.403,360,escort,961,511625
361,877.899,361,escort,961,511625
362,683.644,362,escort,961,511625
363,654.528,363,escort,961,511625
364,295.82500000000005,364,escort,961,511625
365,318.525,365,escort,961,511625
366,603.51,366,escort,961,511625
367,925.3330000000001,367,escort,961,511625
368,527.1070000000001,368,escort,961,511625
369,804.2760000000001,369,escort,961,511625
370,885.545,370,escort,961,511625
371,772.8430000000001,371,escort,961,511625
372,1026.276,372,escort,961,511625
373,410.18600000000004,373,escort,961,511625
374,350.76,374,escort,961,511625
375,199.776,375,escort,961,511625
376,565.634,376,escort,961,511625
377,394.84200000000004,377,escort,961,511625
378,276.576,378,escort,961,511625
379,569.518,379,escort,961,511625
380,297.97499999999997,380,escort,961,511625
381,843.273,381,escort,961,511625
382,509.8660000000001,382,escort,961,511625
383,982.2150000000001,383,escort,961,511625
384,640.27,384,escort,961,511625
385,302.31600000000003,385,escort,961,511625
386,360.54900000000004,386,escort,961,511625
387,405.318,387,escort,961,511625
388,1362.807,388,escort,961,511625
389,747.803,389,escort,961,511625
390,305.947,390,escort,961,511625
391,650.532,391,escort,961,511625
392,322.077,392,escort,961,511625
393,446.56100000000004,393,escort,961,511625
394,436.11600000000004,394,escort,961,511625
395,293.63100000000003,395,escort,961,511625
396,89.49600000000001,396,escort,961,511625
397,251.382,397,escort,961,511625
398,225.723,398,escort,961,511625
399,37.71,399,escort,961,511625
400,312.372,400,escort,961,511625
401,1636.296,401,escort,961,511625
402,140.397,402,escort,961,511625
403,25.164,403,escort,961,511625
404,360.27000000000004,404,escort,961,511625
405,218.262,405,escort,961,511625
406,96.99000000000001,406,escort,961,511625
407,456.26700000000005,407,escort,961,511625
408,186.82800000000003,408,escort,961,511625
409,77.025,409,escort,961,511625
410,192.804,410,escort,961,511625
411,1.5720000000000003,411,escort,961,511625
412,935.22,412,escort,961,511625
413,1086.8290000000002,413,escort,961,511625
414,563.079,414,escort,961,511625
415,662.6580000000001,415,escort,961,511625
416,844.565,416,escort,961,511625
417,20.583,417,escort,961,511625
418,123.50399999999999,418,escort,961,511625
419,394.977,419,escort,961,511625
420,344.07700000000006,420,escort,961,511625
421,397.386,421,escort,961,511625
422,362.211,422,escort,961,511625
423,573.745,423,escort,961,511625
424,967.272,424,escort,961,511625
425,531.898,425,escort,961,511625
426,215.925,426,escort,961,511625
427,268.422,427,escort,961,511625
428,426.46200000000005,428,escort,961,511625
429,248.93400000000003,429,escort,961,511625
430,48.393,430,escort,961,511625
431,33.489000000000004,431,escort,961,511625
432,378.25200000000007,432,escort,961,511625
433,694.692,433,escort,961,511625
434,23.673000000000002,434,escort,961,511625
435,445.20399999999995,435,escort,961,511625
436,512.847,436,escort,961,511625
437,631.884,437,escort,961,511625
438,687.251,438,escort,961,511625
439,367.491,439,escort,961,511625
440,839.027,440,escort,961,511625
441,531.931,441,escort,961,511625
442,654.315,442,escort,961,511625
443,475.494,443,escort,961,511625
444,746.9970000000001,444,escort,961,511625
445,798.213,445,escort,961,511625
446,610.5630000000001,446,escort,961,511625
447,397.17,447,escort,961,511625
448,636.216,448,escort,961,511625
449,680.943,449,escort,961,511625
450,610.7860000000001,450,escort,961,511625
451,730.948,451,escort,961,511625
452,730.6890000000001,452,escort,961,511625
453,1253.517,453,escort,961,511625
454,845.508,454,escort,961,511625
455,318.276,455,escort,961,511625
456,1026.435,456,escort,961,511625
457,745.3900000000001,457,escort,961,511625
458,488.59200000000004,458,escort,961,511625
459,1147.159,459,escort,961,511625
460,730.308,460,escort,961,511625
461,598.595,461,escort,961,511625
462,762.368,462,escort,961,511625
463,346.074,463,escort,961,511625
464,300.504,464,escort,961,511625
465,911.615,465,escort,961,511625
466,1433.946,466,escort,961,511625
467,615.807,467,escort,961,511625
468,874.2239999999999,468,escort,961,511625
469,1026.822,469,escort,961,511625
470,688.343,470,escort,961,511625
471,713.0820000000001,471,escort,961,511625
472,660.0360000000001,472,escort,961,511625
473,1094.4640000000002,473,escort,961,511625
474,536.442,474,escort,961,511625
475,961.7629999999999,475,escort,961,511625
476,1165.146,476,escort,961,511625
477,632.1600000000001,477,escort,961,511625
478,899.157,478,escort,961,511625
479,1663.2690000000002,479,escort,961,511625
480,814.845,480,escort,961,511625
481,890.5120000000002,481,escort,961,511625
482,602.698,482,escort,961,511625
483,956.5730000000001,483,escort,961,511625
484,1150.0320000000002,484,escort,961,511625
485,1491.9930000000002,485,escort,961,511625
486,1103.3840000000002,486,escort,961,511625
487,1628.707,487,escort,961,511625
488,969.993,488,escort,961,511625
489,1533.7939999999999,489,escort,961,511625
490,830.769,490,escort,961,511625
491,506.127,491,escort,961,511625
492,762.102,492,escort,961,511625
493,804.9710000000001,493,escort,961,511625
494,938.6870000000001,494,escort,961,511625
495,642.3810000000001,495,escort,961,511625
496,772.555,496,escort,961,511625
497,1172.7,497,escort,961,511625
498,1179.2410000000002,498,escort,961,511625
499,1024.721,499,escort,961,511625
500,849.1310000000001,500,escort,961,511625
501,454.44300000000004,501,escort,961,511625
502,493.56000000000006,502,escort,961,511625
503,695.582,503,escort,961,511625
504,570.471,504,escort,961,511625
505,484.254,505,escort,961,511625
506,575.097,506,escort,961,511625
507,1152.2620000000002,507,escort,961,511625
508,338.93100000000004,508,escort,961,511625
509,356.967,509,escort,961,511625
510,423.9170000000001,510,escort,961,511625
511,1494.2,511,escort,961,511625
512,1087.352,512,escort,961,511625
513,268.908,513,escort,961,511625
514,1042.448,514,escort,961,511625
515,1195.3400000000001,515,escort,961,511625
516,688.098,516,escort,961,511625
517,679.478,517,escort,961,511625
518,1197.642,518,escort,961,511625
519,1640.679,519,escort,961,511625
520,558.304,520,escort,961,511625
521,558.743,521,escort,961,511625
522,864.5520000000001,522,escort,961,511625
523,1106.0240000000001,523,escort,961,511625
524,546.03,524,escort,961,511625
525,474.41700000000003,525,escort,961,511625
526,1311.141,526,escort,961,511625
527,972.231,527,escort,961,511625
528,611.49,528,escort,961,511625
529,271.749,529,escort,961,511625
530,832.038,530,escort,961,511625
531,1008.1170000000001,531,escort,961,511625
532,442.809,532,escort,961,511625
533,1092.727,533,escort,961,511625
534,561.3,534,escort,961,511625
535,576.936,535,escort,961,511625
536,664.542,536,escort,961,511625
537,511.992,537,escort,961,511625
538,138.58800000000002,538,escort,961,511625
539,243.05400000000003,539,escort,961,511625
540,488.9170000000001,540,escort,961,511625
541,1579.911,541,escort,961,511625
542,334.101,542,escort,961,511625
543,539.0550000000001,543,escort,961,511625
544,746.1210000000001,544,escort,961,511625
545,196.395,545,escort,961,511625
546,1588.8550000000002,546,escort,961,511625
547,804.354,547,escort,961,511625
548,928.769,548,escort,961,511625
549,602.43,549,escort,961,511625
550,438.699,550,escort,961,511625
551,1008.3130000000001,551,escort,961,511625
552,439.617,552,escort,961,511625
553,567.844,553,escort,961,511625
554,237.375,554,escort,961,511625
555,578.348,555,escort,961,511625
556,122.913,556,escort,961,511625
557,664.2030000000001,557,escort,961,511625
558,410.97,558,escort,961,511625
559,631.219,559,escort,961,511625
560,978.787,560,escort,961,511625
561,344.274,561,escort,961,511625
562,597.2640000000001,562,escort,961,511625
563,1988.22,563,escort,961,511625
564,1133.402,564,escort,961,511625
565,393.21900000000005,565,escort,961,511625
566,460.569,566,escort,961,511625
567,1065.876,567,escort,961,511625
568,832.9190000000001,568,escort,961,511625
569,515.642,569,escort,961,511625
570,719.1670000000001,570,escort,961,511625
571,484.15000000000003,571,escort,961,511625
572,1192.877,572,escort,961,511625
573,460.854,573,escort,961,511625
574,393.75300000000004,574,escort,961,511625
575,678.2710000000001,575,escort,961,511625
576,479.391,576,escort,961,511625
577,718.0930000000001,577,escort,961,511625
578,1317.799,578,escort,961,511625
579,365.793,579,escort,961,511625
580,678.1669999999999,580,escort,961,511625
581,834.2030000000001,581,escort,961,511625
582,954.637,582,escort,961,511625
583,1467.8619999999999,583,escort,961,511625
584,746.971,584,escort,961,511625
585,628.854,585,escort,961,511625
586,1213.467,586,escort,961,511625
587,342.75600000000003,587,escort,961,511625
588,825.1120000000001,588,escort,961,511625
589,699.736,589,escort,961,511625
590,859.695,590,escort,961,511625
591,1579.4070000000002,591,escort,961,511625
592,658.6970000000001,592,escort,961,511625
593,494.09100000000007,593,escort,961,511625
594,545.154,594,escort,961,511625
595,1228.1970000000001,595,escort,961,511625
596,995.7270000000001,596,escort,961,511625
597,686.964,597,escort,961,511625
598,709.1790000000001,598,escort,961,511625
599,487.212,599,escort,961,511625
600,467.40999999999997,600,escort,961,511625
601,662.379,601,escort,961,511625
602,325.41900000000004,602,escort,961,511625
603,126.57,603,escort,961,511625
604,859.5510000000002,604,escort,961,511625
605,1531.5819999999999,605,escort,961,511625
606,572.022,606,escort,961,511625
607,1202.025,607,escort,961,511625
608,372.00600000000003,608,escort,961,511625
609,565.287,609,escort,961,511625
610,170.616,610,escort,961,511625
611,867.624,611,escort,961,511625
612,546.087,612,escort,961,511625
613,443.00300000000004,613,escort,961,511625
614,1309.7490000000003,614,escort,961,511625
615,396.87,615,escort,961,511625
616,755.571,616,escort,961,511625
617,688.3050000000001,617,escort,961,511625
618,246.86100000000002,618,escort,961,511625
619,436.92600000000004,619,escort,961,511625
620,698.783,620,escort,961,511625
621,659.1450000000001,621,escort,961,511625
622,733.892,622,escort,961,511625
623,717.264,623,escort,961,511625
624,218.772,624,escort,961,511625
625,612.018,625,escort,961,511625
626,1164.142,626,escort,961,511625
627,925.998,627,escort,961,511625
628,561.635,628,escort,961,511625
629,556.799,629,escort,961,511625
630,973.7540000000001,630,escort,961,511625
631,497.502,631,escort,961,511625
632,980.0500000000001,632,escort,961,511625
633,1596.361,633,escort,961,511625
634,733.8610000000001,634,escort,961,511625
635,588.037,635,escort,961,511625
636,823.3900000000001,636,escort,961,511625
637,827.8020000000001,637,escort,961,511625
638,713.27,638,escort,961,511625
639,921.942,639,escort,961,511625
640,621.6640000000001,640,escort,961,511625
641,1113.147,641,escort,961,511625
642,378.79800000000006,642,escort,961,511625
643,491.14000000000004,643,escort,961,511625
644,515.1030000000001,644,escort,961,511625
645,619.491,645,escort,961,511625
646,451.648,646,escort,961,511625
647,518.109,647,escort,961,511625
648,1409.5030000000002,648,escort,961,511625
649,878.142,649,escort,961,511625
650,1002.032,650,escort,961,511625
651,1407.6650000000002,651,escort,961,511625
652,649.3299999999999,652,escort,961,511625
653,2158.405,653,escort,961,511625
654,614.397,654,escort,961,511625
655,2156.181,655,escort,961,511625
656,1068.932,656,escort,961,511625
657,965.481,657,escort,961,511625
658,416.14200000000005,658,escort,961,511625
659,531.929,659,escort,961,511625
660,628.472,660,escort,961,511625
661,1654.382,661,escort,961,511625
662,493.169,662,escort,961,511625
663,778.0699999999999,663,escort,961,511625
664,832.06,664,escort,961,511625
665,897.393,665,escort,961,511625
666,522.417,666,escort,961,511625
667,905.546,667,escort,961,511625
668,625.836,668,escort,961,511625
669,1371.811,669,escort,961,511625
670,951.076,670,escort,961,511625
671,628.749,671,escort,961,511625
672,521.169,672,escort,961,511625
673,423.286,673,escort,961,511625
674,959.9610000000001,674,escort,961,511625
675,600.8430000000001,675,escort,961,511625
676,1215.6770000000001,676,escort,961,511625
677,942.183,677,escort,961,511625
678,486.341,678,escort,961,511625
679,474.654,679,escort,961,511625
680,876.7910000000002,680,escort,961,511625
681,441.879,681,escort,961,511625
682,662.306,682,escort,961,511625
683,528.276,683,escort,961,511625
684,859.916,684,escort,961,511625
685,878.717,685,escort,961,511625
686,785.1030000000001,686,escort,961,511625
687,611.2729999999999,687,escort,961,511625
688,1353.267,688,escort,961,511625
689,662.304,689,escort,961,511625
690,844.8199999999999,690,escort,961,511625
691,680.027,691,escort,961,511625
692,408.52200000000005,692,escort,961,511625
693,1069.3790000000001,693,escort,961,511625
694,726.1890000000001,694,escort,961,511625
695,1132.428,695,escort,961,511625
696,539.529,696,escort,961,511625
697,323.07800000000003,697,escort,961,511625
698,1431.8890000000001,698,escort,961,511625
699,593.8480000000001,699,escort,961,511625
700,2011.9550000000004,700,escort,961,511625
701,848.154,701,escort,961,511625
702,1567.3860000000002,702,escort,961,511625
703,342.20700000000005,703,escort,961,511625
704,1274.1930000000002,704,escort,961,511625
705,2542.592,705,escort,961,511625
706,1126.368,706,escort,961,511625
707,1654.453,707,escort,961,511625
708,1325.295,708,escort,961,511625
709,1024.692,709,escort,961,511625
710,1266.8000000000002,710,escort,961,511625
711,1246.236,711,escort,961,511625
712,734.6270000000001,712,escort,961,511625
713,515.556,713,escort,961,511625
714,164.214,714,escort,961,511625
715,953.76,715,escort,961,511625
716,582.638,716,escort,961,511625
717,1040.493,717,escort,961,511625
718,1151.298,718,escort,961,511625
719,680.124,719,escort,961,511625
720,591.825,720,escort,961,511625
721,1090.968,721,escort,961,511625
722,955.789,722,escort,961,511625
723,613.7220000000001,723,escort,961,511625
724,1231.559,724,escort,961,511625
725,504.03900000000004,725,escort,961,511625
726,1297.8090000000002,726,escort,961,511625
727,794.125,727,escort,961,511625
728,1009.571,728,escort,961,511625
729,2437.8120000000004,729,escort,961,511625
730,2001.6280000000002,730,escort,961,511625
731,291.15900000000005,731,escort,961,511625
732,1602.6680000000001,732,escort,961,511625
733,1152.1180000000002,733,escort,961,511625
734,851.5050000000001,734,escort,961,511625
735,793.655,735,escort,961,511625
736,1988.16,736,escort,961,511625
737,896.046,737,escort,961,511625
738,622.62,738,escort,961,511625
739,996.0020000000002,739,escort,961,511625
740,1328.4859999999999,740,escort,961,511625
741,520.9680000000001,741,escort,961,511625
742,2243.771,742,escort,961,511625
743,1500.8200000000002,743,escort,961,511625
744,884.4520000000001,744,escort,961,511625
745,600.1880000000001,745,escort,961,511625
746,1201.212,746,escort,961,511625
747,353.229,747,escort,961,511625
748,492.99,748,escort,961,511625
749,1087.472,749,escort,961,511625
750,351.207,750,escort,961,511625
751,678.576,751,escort,961,511625
752,494.754,752,escort,961,511625
753,656.2330000000001,753,escort,961,511625
754,487.044,754,escort,961,511625
755,1431.4630000000002,755,escort,961,511625
756,1632.9950000000001,756,escort,961,511625
757,407.64700000000005,757,escort,961,511625
758,712.73,758,escort,961,511625
759,714.813,759,escort,961,511625
760,629.5260000000001,760,escort,961,511625
761,1722.6060000000002,761,escort,961,511625
762,399.25300000000004,762,escort,961,511625
