participant_id,tour_id,household_id,person_id,participant_num
692069606,6920696,65816,168796,1
692069602,6920696,65816,168798,2
692069605,6920696,65816,168799,3
692069604,6920696,65816,168801,4
5847487103,58474871,544250,1426210,1
5847487102,58474871,544250,1426212,2
5847487104,58474871,544250,1426214,3
5847487101,58474871,544250,1426216,4
1024431806,10244318,100137,249833,1
1024431805,10244318,100137,249840,2
1024431804,10244318,100137,249847,3
1024431803,10244318,100137,249854,4
3188095901,31880959,315947,777584,1
3188095902,31880959,315947,777585,2
3188095903,31880959,315947,777586,3
9876963002,98769630,905103,2409014,1
9876963003,98769630,905103,2409016,2
2061301102,20613011,199257,502753,1
2061301101,20613011,199257,502756,2
17591117701,175911177,1696002,4290516,1
17591117702,175911177,1696002,4290517,2
28156599601,281565996,2632841,6867463,1
28156599602,281565996,2632841,6867464,2
