process,time,rss,used,available,percent,event
mp_households_0, 15/08/2022 22:21:29, 0.53, 0.97, 115.18, 6.9%, school_location.i1.simulate.university.interaction_sample_simulate.add.choices
mp_households_1, 15/08/2022 22:21:29, 0.58, 0.97, 115.18, 6.9%, school_location.i1.simulate.university.interaction_sample_simulate.del.utilities_df
mp_households_1, 15/08/2022 22:21:29, 0.58, 0.97, 115.18, 6.9%, school_location.i1.simulate.university.interaction_sample_simulate.add.positions
mp_households_1, 15/08/2022 22:21:29, 0.58, 0.97, 115.18, 6.9%, school_location.i1.simulate.university.interaction_sample_simulate.add.rands
mp_households_1, 15/08/2022 22:21:29, 0.58, 0.97, 115.18, 6.9%, school_location.i1.simulate.university.interaction_sample_simulate.del.probs
mp_households_1, 15/08/2022 22:21:29, 0.58, 0.97, 115.18, 6.9%, school_location.i1.simulate.university.interaction_sample_simulate.add.choices
mp_households_0, 15/08/2022 22:21:29, 0.53, 0.97, 115.18, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.interaction_df
mp_households_0, 15/08/2022 22:21:29, 0.65, 0.97, 115.18, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.interaction_utilities
mp_households_0, 15/08/2022 22:21:29, 0.65, 0.97, 115.18, 6.9%, school_location.i1.sample.highschool.interaction_sample.del.interaction_df
mp_households_1, 15/08/2022 22:21:29, 0.58, 0.97, 115.18, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.interaction_df
mp_households_1, 15/08/2022 22:21:29, 0.75, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.interaction_utilities
mp_households_0, 15/08/2022 22:21:29, 0.65, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.utilities
mp_households_1, 15/08/2022 22:21:30, 0.75, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.del.interaction_df
mp_households_0, 15/08/2022 22:21:30, 0.65, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.del.interaction_utilities
mp_households_1, 15/08/2022 22:21:30, 0.75, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.utilities
mp_households_0, 15/08/2022 22:21:30, 0.65, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.probs
mp_households_1, 15/08/2022 22:21:30, 0.75, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.del.interaction_utilities
mp_households_0, 15/08/2022 22:21:30, 0.65, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.del.utilities
mp_households_0, 15/08/2022 22:21:30, 0.65, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:21:30, 0.76, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.probs
