tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,tdd,start,end,duration,composition,destination_logsum,tour_mode,mode_choice_logsum,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
286898307,6997519,othmaint,1,1,1,1,non_mandatory,1,1422.0,1407.0,2682444,57.0,8.0,11.0,3.0,,11.688326555901034,DRIVEALONEFREE,-0.37327837935102315,,,0out_1in,othmaint
286898348,6997520,othmaint,1,1,1,1,non_mandatory,1,1407.0,1407.0,2682444,86.0,10.0,11.0,1.0,,11.552500837070662,DRIVEALONEFREE,0.11912831098529873,,,0out_2in,othmaint
288576606,7038453,shopping,1,1,1,3,non_mandatory,1,677.0,688.0,2697955,145.0,15.0,15.0,0.0,,12.723581512192753,DRIVEALONEFREE,-0.06724130502861514,,,0out_2in,shopping
288576598,7038453,othdiscr,1,1,2,3,non_mandatory,1,679.0,688.0,2697955,99.0,11.0,11.0,0.0,,13.862213445344892,SHARED3FREE,0.09690701746231213,,,0out_0in,othdiscr
288576579,7038453,eatout,1,1,3,3,non_mandatory,1,688.0,688.0,2697955,184.0,21.0,21.0,0.0,,12.220819155214448,WALK,1.270744068883044,,,0out_0in,eatout
291285599,7104526,shopping,1,1,1,2,non_mandatory,1,971.0,905.0,2723276,128.0,13.0,17.0,4.0,,12.637380538947157,BIKE,-2.437977133869899,,,0out_0in,shopping
291285594,7104526,othmaint,1,1,2,2,non_mandatory,1,949.0,905.0,2723276,86.0,10.0,11.0,1.0,,13.36148740178508,SHARED2FREE,-0.05933136377067869,,,0out_0in,othmaint
291838747,7118018,escort,2,1,1,2,non_mandatory,1,959.0,954.0,2728373,38.0,7.0,8.0,1.0,,12.46544562372892,SHARED2FREE,-1.7486902386343048,,,0out_0in,escort
291838748,7118018,escort,2,2,2,2,non_mandatory,1,954.0,954.0,2728373,113.0,12.0,13.0,1.0,,12.642569428548533,SHARED2FREE,-0.7143081417633936,,,0out_0in,escort
1320573,32209,eat,1,1,1,1,atwork,1,970.0,971.0,16465,85.0,10.0,10.0,0.0,,14.617358613079416,WALK,5.732467371331448,,1320608.0,0out_0in,atwork
2491779,60775,eat,1,1,1,1,atwork,1,969.0,947.0,27646,124.0,13.0,13.0,0.0,,19.079284496366803,DRIVEALONEFREE,-0.22002482819216324,,2491814.0,0out_0in,atwork
7430598,181234,eat,1,1,1,1,atwork,1,1441.0,1427.0,70786,112.0,12.0,12.0,0.0,,10.835086022210696,DRIVEALONEFREE,-0.5558998603467975,,7430633.0,0out_0in,atwork
9403127,229344,maint,1,1,1,1,atwork,1,998.0,973.0,92406,91.0,10.0,16.0,6.0,,19.61573218110471,DRIVEALONEFREE,-0.03513277250589861,,9403143.0,0out_1in,atwork
15433343,376423,business,1,1,1,1,atwork,1,1452.0,1441.0,142408,101.0,11.0,13.0,2.0,,18.242772909990496,DRIVEALONEFREE,-0.9403737054820183,,15433382.0,0out_0in,atwork
15438185,376541,eat,1,1,1,1,atwork,1,1158.0,1158.0,142561,124.0,13.0,13.0,0.0,,16.330075629200383,DRIVEALONEFREE,0.37864497212559106,,15438220.0,0out_1in,atwork
21047067,513343,eat,1,1,1,1,atwork,1,742.0,742.0,203819,125.0,13.0,14.0,1.0,,11.73679832486771,SHARED3FREE,0.6505405770587884,,21047102.0,0out_0in,atwork
25581335,623935,business,1,1,1,1,atwork,1,894.0,875.0,246740,114.0,12.0,14.0,2.0,,18.059358844930095,DRIVEALONEFREE,-0.43209616510159304,,25581374.0,0out_0in,atwork
27727812,676288,eat,1,1,1,1,atwork,1,743.0,737.0,265147,114.0,12.0,14.0,2.0,,18.23931312374324,DRIVEALONEFREE,-0.16683451335411936,,27727847.0,1out_0in,atwork
28275818,689654,eat,1,1,1,1,atwork,1,864.0,871.0,269745,86.0,10.0,11.0,1.0,,18.619094982210136,DRIVEALONEFREE,0.24803025547359175,,28275853.0,0out_0in,atwork
30498387,743863,eat,1,1,1,1,atwork,1,947.0,942.0,299244,54.0,8.0,8.0,0.0,,19.342154823927526,DRIVEALONEFREE,-0.07529481410027548,,30498422.0,0out_0in,atwork
31859669,777065,eat,1,1,1,1,atwork,1,12.0,24.0,315467,85.0,10.0,10.0,0.0,,20.555217099884125,WALK,-0.6683862001889636,,31859704.0,0out_1in,atwork
40218913,980949,eat,1,1,1,1,atwork,1,979.0,969.0,388640,124.0,13.0,13.0,0.0,,19.247940638783373,WALK,-0.5665295603771441,,40218948.0,0out_0in,atwork
43584644,1063040,eat,1,1,1,1,atwork,1,742.0,744.0,415797,91.0,10.0,16.0,6.0,,17.754300953432658,DRIVEALONEFREE,-0.43174052314008815,,43584679.0,1out_0in,atwork
43584804,1063044,business,1,1,1,1,atwork,1,764.0,763.0,415797,102.0,11.0,14.0,3.0,,18.582654128659247,SHARED2FREE,-0.45479512375553865,,43584843.0,1out_1in,atwork
44292058,1080294,eat,1,1,1,1,atwork,1,808.0,769.0,421959,85.0,10.0,10.0,0.0,,16.840835898323682,DRIVEALONEFREE,-0.912007343560033,,44292093.0,0out_0in,atwork
