TAZ,size_term,TAZ,tour_type,TAZ_chooser,person_id
75,717.438,75,eatout,961,511624
76,214.378,76,eatout,961,511624
77,640.7280000000001,77,eatout,961,511624
78,32.348,78,eatout,961,511624
79,1420.0700000000002,79,eatout,961,511624
80,23.416,80,eatout,961,511624
81,168.082,81,eatout,961,511624
82,691.278,82,eatout,961,511624
83,80.776,83,eatout,961,511624
84,62.388000000000005,84,eatout,961,511624
85,210.622,85,eatout,961,511624
86,79.12,86,eatout,961,511624
87,441.10400000000004,87,eatout,961,511624
88,571.744,88,eatout,961,511624
89,135.258,89,eatout,961,511624
90,2299.2000000000003,90,eatout,961,511624
91,573.028,91,eatout,961,511624
92,170.43,92,eatout,961,511624
93,604.236,93,eatout,961,511624
94,212.334,94,eatout,961,511624
95,16.61,95,eatout,961,511624
96,14.611999999999998,96,eatout,961,511624
97,144.942,97,eatout,961,511624
98,83.612,98,eatout,961,511624
99,93.894,99,eatout,961,511624
100,401.43399999999997,100,eatout,961,511624
101,413.65799999999996,101,eatout,961,511624
102,232.648,102,eatout,961,511624
103,115.42399999999999,103,eatout,961,511624
104,205.374,104,eatout,961,511624
105,162.768,105,eatout,961,511624
106,2825.516,106,eatout,961,511624
107,1805.1299999999999,107,eatout,961,511624
108,210.014,108,eatout,961,511624
109,705.836,109,eatout,961,511624
110,59.39,110,eatout,961,511624
111,198.29999999999998,111,eatout,961,511624
112,84.578,112,eatout,961,511624
113,47.576,113,eatout,961,511624
114,268.656,114,eatout,961,511624
115,44.06,115,eatout,961,511624
116,360.644,116,eatout,961,511624
117,45.900000000000006,117,eatout,961,511624
118,14.16,118,eatout,961,511624
119,99.812,119,eatout,961,511624
120,501.15599999999995,120,eatout,961,511624
121,404.142,121,eatout,961,511624
122,53.803999999999995,122,eatout,961,511624
123,336.5,123,eatout,961,511624
124,65.198,124,eatout,961,511624
125,8.968,125,eatout,961,511624
126,3.612,126,eatout,961,511624
127,98.772,127,eatout,961,511624
128,430.43,128,eatout,961,511624
129,9.612,129,eatout,961,511624
130,358.612,130,eatout,961,511624
131,55.292,131,eatout,961,511624
132,118.80199999999999,132,eatout,961,511624
133,1813.8919999999998,133,eatout,961,511624
134,1072.982,134,eatout,961,511624
135,100.232,135,eatout,961,511624
136,218.85,136,eatout,961,511624
137,81.006,137,eatout,961,511624
138,1105.1779999999999,138,eatout,961,511624
139,131.14,139,eatout,961,511624
140,4.322,140,eatout,961,511624
141,72.1,141,eatout,961,511624
142,595.084,142,eatout,961,511624
143,61.1,143,eatout,961,511624
144,24.252000000000002,144,eatout,961,511624
145,32.742000000000004,145,eatout,961,511624
146,1.0,146,eatout,961,511624
147,74.064,147,eatout,961,511624
148,38.03,148,eatout,961,511624
149,26.158,149,eatout,961,511624
150,777.874,150,eatout,961,511624
151,8.838000000000001,151,eatout,961,511624
152,624.05,152,eatout,961,511624
153,8.677999999999999,153,eatout,961,511624
154,44.282000000000004,154,eatout,961,511624
155,18.288,155,eatout,961,511624
157,9.774000000000001,157,eatout,961,511624
158,0.742,158,eatout,961,511624
159,11.678,159,eatout,961,511624
160,6.386,160,eatout,961,511624
161,3.87,161,eatout,961,511624
162,55.808,162,eatout,961,511624
163,27.026000000000003,163,eatout,961,511624
164,239.148,164,eatout,961,511624
165,157.878,165,eatout,961,511624
166,721.7760000000001,166,eatout,961,511624
167,350.044,167,eatout,961,511624
168,950.698,168,eatout,961,511624
169,803.5,169,eatout,961,511624
170,212.79399999999998,170,eatout,961,511624
171,111.164,171,eatout,961,511624
172,133.39000000000001,172,eatout,961,511624
173,23.776,173,eatout,961,511624
174,47.086,174,eatout,961,511624
175,125.642,175,eatout,961,511624
176,161.80999999999997,176,eatout,961,511624
177,854.8599999999999,177,eatout,961,511624
178,60.025999999999996,178,eatout,961,511624
179,596.296,179,eatout,961,511624
180,61.647999999999996,180,eatout,961,511624
181,19.644,181,eatout,961,511624
182,45.42,182,eatout,961,511624
183,208.46800000000002,183,eatout,961,511624
184,172.75199999999998,184,eatout,961,511624
185,978.496,185,eatout,961,511624
186,276.78,186,eatout,961,511624
187,361.13599999999997,187,eatout,961,511624
188,1828.842,188,eatout,961,511624
189,214.85,189,eatout,961,511624
190,133.35399999999998,190,eatout,961,511624
191,34.866,191,eatout,961,511624
192,667.2139999999999,192,eatout,961,511624
193,344.02599999999995,193,eatout,961,511624
194,853.694,194,eatout,961,511624
195,19.286,195,eatout,961,511624
196,77.358,196,eatout,961,511624
197,139.236,197,eatout,961,511624
198,182.578,198,eatout,961,511624
199,1110.38,199,eatout,961,511624
200,2720.136,200,eatout,961,511624
201,309.81600000000003,201,eatout,961,511624
202,125.47399999999999,202,eatout,961,511624
203,426.01800000000003,203,eatout,961,511624
204,128.38400000000001,204,eatout,961,511624
205,34.028000000000006,205,eatout,961,511624
206,5.128,206,eatout,961,511624
207,114.05799999999999,207,eatout,961,511624
208,590.3820000000001,208,eatout,961,511624
209,30.864,209,eatout,961,511624
210,161.594,210,eatout,961,511624
211,450.514,211,eatout,961,511624
212,1969.1840000000002,212,eatout,961,511624
213,259.904,213,eatout,961,511624
214,69.54400000000001,214,eatout,961,511624
215,111.00399999999999,215,eatout,961,511624
216,1320.438,216,eatout,961,511624
217,56.932,217,eatout,961,511624
218,428.034,218,eatout,961,511624
219,150.29,219,eatout,961,511624
220,44.636,220,eatout,961,511624
221,37.80799999999999,221,eatout,961,511624
222,108.17999999999999,222,eatout,961,511624
223,181.448,223,eatout,961,511624
224,281.594,224,eatout,961,511624
225,214.00400000000002,225,eatout,961,511624
226,157.156,226,eatout,961,511624
227,30.930000000000003,227,eatout,961,511624
228,2.838,228,eatout,961,511624
229,98.042,229,eatout,961,511624
230,373.038,230,eatout,961,511624
231,29.768,231,eatout,961,511624
232,53.184,232,eatout,961,511624
233,138.61,233,eatout,961,511624
234,1749.376,234,eatout,961,511624
235,284.288,235,eatout,961,511624
236,120.76599999999999,236,eatout,961,511624
237,397.68,237,eatout,961,511624
238,73.066,238,eatout,961,511624
239,477.476,239,eatout,961,511624
240,687.0519999999999,240,eatout,961,511624
241,41.478,241,eatout,961,511624
242,12.546,242,eatout,961,511624
243,25.482,243,eatout,961,511624
244,341.014,244,eatout,961,511624
245,37.672,245,eatout,961,511624
246,1105.588,246,eatout,961,511624
247,16.416,247,eatout,961,511624
248,734.57,248,eatout,961,511624
249,529.134,249,eatout,961,511624
250,257.35,250,eatout,961,511624
251,887.59,251,eatout,961,511624
