alternative,probability_1,probability_2,probability_3
79,0.006002303288520849,0.006023378635342054,0.006023378635342054
80,0.00255173993592562,0.0025932380142938923,0.0025932380142938923
81,0.0013987044165353396,0.0014395363534493097,0.0014395363534493097
82,0.0005702993900696812,0.0006033885665789038,0.0006033885665789038
83,0.00023970891244903385,0.0002568630634173159,0.0002568630634173159
84,0.00022360962299338384,0.0002426824687708627,0.0002426824687708627
85,0.00036300198703152347,0.00033229075000625535,0.00033229075000625535
86,0.00036855025851166047,0.00034157169137004036,0.00034157169137004036
87,0.00037329276236875786,0.000351120312930258,0.000351120312930258
88,0.001479783074244286,0.001409410280861662,0.001409410280861662
89,0.0015022875655342335,0.0014488800441102968,0.0014488800441102968
90,0.0031271311303826704,0.003054023760212317,0.003054023760212317
91,0.002151265309300028,0.0021275228438132256,0.0021275228438132256
92,0.004773289305890903,0.004670823567196628,0.004670823567196628
93,0.004584368236681499,0.004542814124994574,0.004542814124994574
94,0.0013105570196536302,0.001315158660455585,0.001315158660455585
95,0.0010321114780179842,0.00104889635581708,0.00104889635581708
96,0.0005573587668909092,0.0005822544737029559,0.0005822544737029559
97,9.550123468650728e-05,0.00010104228429380991,0.00010104228429380991
98,9.695593051574495e-05,0.00010389433198085935,0.00010389433198085935
99,0.00036300198703152347,0.00033229075000625535,0.00033229075000625535
100,0.00036770665706570814,0.00034157169137004036,0.00034157169137004036
101,0.0007503222524706444,0.0007057554033843707,0.0007057554033843707
102,0.001479783074244286,0.001409410280861662,0.001409410280861662
103,0.002577340167583413,0.002485713668519611,0.002485713668519611
104,0.0021190052704598505,0.0020694662852873665,0.0020694662852873665
105,0.002665218267608704,0.0025754060452434385,0.0025754060452434385
106,0.004515569559261669,0.004418636157394721,0.004418636157394721
107,0.0024747269197795056,0.002452295240317911,0.002452295240317911
108,0.0013105570196536302,0.001315158660455585,0.001315158660455585
109,0.0010168657368785387,0.00104889635581708,0.00104889635581708
110,0.00023075478674052194,0.0002410619781896031,0.0002410619781896031
111,9.550123468650728e-05,0.00010104228429380991,0.00010104228429380991
112,0.0003677087927918681,0.00033229075000625535,0.00033229075000625535
113,0.0007503458312207526,0.000686562576843644,0.000686562576843644
114,0.0007617707312169693,0.0007057554033843707,0.0007057554033843707
115,0.0025775555965488707,0.002417998932300291,0.002417998932300291
116,0.0017732256067516912,0.0016843682419555544,0.0016843682419555544
117,0.0026648098193018627,0.0025051274993616282,0.0025051274993616282
118,0.002559382382460512,0.002436354554559981,0.002436354554559981
119,0.0024744697329522384,0.0023852616724635723,0.0023852616724635723
120,0.002512253356029187,0.002452295240317911,0.002452295240317911
121,0.001306102671926241,0.001315158660455585,0.001315158660455585
122,0.00042583929480652686,0.0004342586306655414,0.0004342586306655414
123,0.0002334086564339583,0.0002410619781896031,0.0002410619781896031
124,0.00038867203843754813,0.00035123479691163154,0.00035123479691163154
125,0.0003945867520940677,0.0003610448489669367,0.0003610448489669367
126,0.0006872646051991135,0.0006367279403072137,0.0006367279403072137
127,0.0009184912251280135,0.0008616344899253907,0.0008616344899253907
128,0.0011549435562209138,0.0010722339381639538,0.0010722339381639538
129,0.0013256901372411226,0.0012462513438596097,0.0012462513438596097
130,0.0007265474619229238,0.0006916228032554335,0.0006916228032554335
131,0.001301257279582916,0.0012543451526886194,0.0012543451526886194
132,0.001297023072390507,0.0012895963085161777,0.0012895963085161777
133,0.0002843637455737091,0.0002863354089608446,0.0002863354089608446
134,0.00022393746624588205,0.00022836496920940587,0.00022836496920940587
135,0.00038867203843754813,0.00035123479691163154,0.00035123479691163154
136,0.0006769571346393096,0.0006194122968798332,0.0006194122968798332
137,0.00046570395032945693,0.0004314593168962902,0.0004314593168962902
138,0.001137610813873336,0.0010430246051632566,0.0010430246051632566
139,0.0010925857686229616,0.0010143418136430613,0.0010143418136430613
140,0.0007156321003331135,0.0006727495677121437,0.0006727495677121437
141,0.0007265474619229238,0.0006916228032554335,0.0006916228032554335
142,0.001277610829214105,0.0012543451526886194,0.0012543451526886194
143,0.0005369867673142536,0.0005339119770430736,0.0005339119770430736
144,0.0002843637455737091,0.0002863354089608446,0.0002863354089608446
145,0.0006668097903914852,0.0006025820695729654,0.0006025820695729654
146,0.00045871940649977065,0.0004197258979400046,0.0004197258979400046
147,0.000576808370759032,0.0005222895426211746,0.0005222895426211746
148,0.0010761888568274298,0.000986709552849334,0.000986709552849334
149,0.000589798042867619,0.000547560506155485,0.000547560506155485
150,0.0007156321003331135,0.0006727495677121437,0.0006727495677121437
151,0.0007133970263724399,0.0006916228032554335,0.0006916228032554335
152,0.0005289498110476223,0.0005193174762860105,0.0005193174762860105
153,0.0005369867673142536,0.0005339119770430736,0.0005339119770430736
154,0.000764532884207547,0.0006908923867957875,0.0006908923867957875
155,0.0009613464110375264,0.000859697184000481,0.000859697184000481
156,0.0009232824744876045,0.0008360155742464593,0.0008360155742464593
157,0.0009829796728513627,0.0009012502102265137,0.0009012502102265137
158,0.0009979564409997145,0.0009264892289199743,0.0009264892289199743
159,0.0011890414436448325,0.00113831297407136,0.00113831297407136
