TAZ,size_term
281,333.19
282,180.4
283,39.478
284,1888.26
285,26.866
286,493.91600000000005
287,159.838
288,242.29999999999998
289,115.024
290,59.134
291,240.23399999999998
292,68.376
293,85.6
294,131.60000000000002
295,376.264
296,599.8000000000001
297,227.508
298,1394.862
299,166.674
300,95.078
301,150.078
302,437.9
303,267.952
304,79.70400000000001
305,10.32
306,36.608000000000004
307,41.830000000000005
308,51.602000000000004
309,635.896
310,1334.1680000000001
311,670.0060000000001
312,85.026
313,981.084
314,400.25199999999995
315,2711.5299999999997
316,319.654
317,206.058
318,64.926
319,27.252
320,136.142
321,49.412000000000006
322,86.928
323,458.738
324,303.04999999999995
325,161.912
326,269.144
327,215.64
328,60.484
329,478.55600000000004
330,25.354
331,457.09799999999996
332,328.09
333,431.692
334,55.928000000000004
335,350.88
336,185.192
337,269.57800000000003
338,8.482
339,79.56800000000001
340,344.804
341,1175.74
342,157.382
343,26.060000000000002
344,88.85
345,73.152
346,227.534
347,333.438
348,4.128
349,2849.3540000000003
350,8.998000000000001
351,876.9839999999999
352,11.094000000000001
353,82.522
354,167.712
355,5730.62
356,1502.916
357,39.186
358,85.568
359,36.120000000000005
360,53.896
361,208.31799999999998
362,285.49
363,98.266
364,177.856
365,284.666
366,386.256
367,199.764
368,161.358
369,81.116
370,1093.91
371,157.716
372,1597.8899999999999
373,166.834
374,515.224
375,16.774
376,161.68599999999998
377,369.988
378,319.48400000000004
379,48.478
380,60.034
381,734.726
382,52.412000000000006
383,1227.7340000000002
384,73.762
385,69.79
386,23.866
387,73.164
388,326.332
389,402.162
390,28.965999999999998
391,454.59000000000003
392,58.227999999999994
393,100.77000000000001
394,181.128
395,50.12
396,159.542
397,312.734
398,182.296
399,81.542
400,16.836
401,4040.544
402,28.606
403,40.806
404,40.348
405,698.186
406,251.644
407,1184.338
408,578.1020000000001
409,173.952
410,48.410000000000004
411,3.0
412,156.76999999999998
413,153.76999999999998
414,435.478
415,716.288
416,82.09200000000001
417,48.483999999999995
418,115.976
419,18.932000000000002
420,48.062
421,11.225999999999999
422,40.906000000000006
423,22.064
424,112.154
425,88.326
426,199.336
427,664.096
428,808.81
429,464.164
430,143.974
431,78.512
432,936.6379999999999
433,179.032
434,36.68
435,353.142
436,179.08999999999997
437,171.626
438,69.51
439,241.26000000000002
440,82.984
441,258.31
442,79.192
443,110.85400000000001
444,289.592
445,170.046
446,154.396
447,86.94
448,338.082
449,680.294
450,370.492
451,381.666
452,217.594
453,497.04
454,180.794
455,262.264
456,465.95
457,70.632
458,9.678
459,357.488
460,894.902
461,57.762
462,470.122
463,261.37399999999997
464,11.868
465,785.7959999999999
466,3748.728
467,767.496
468,277.746
469,226.856
470,166.068
471,758.13
472,187.05599999999998
473,49.254000000000005
474,51.932
475,977.7479999999999
476,719.7280000000001
477,135.80599999999998
478,882.614
479,108.622
480,87.60000000000001
481,115.616
482,8.45
483,196.094
484,514.0219999999999
485,821.722
486,677.0720000000001
487,1684.3719999999998
488,54.246
489,80.756
490,508.35799999999995
491,240.008
492,189.62
493,58.217999999999996
494,127.922
495,33.282000000000004
496,1133.7800000000002
497,451.24399999999997
498,1367.402
499,442.452
500,475.256
501,41.578
502,443.08
