TAZ,utility
300,-5.405791775007776
301,-5.156325884364585
302,-7.822480760365142
303,-4.936566458850778
304,-6.952648714758175
305,-8.22934936560361
306,-8.081568631576047
307,-7.098254477252575
308,-6.994689405359299
309,-4.094012960476842
310,-3.303693780679298
311,-4.5189732973113
312,-6.76130133353042
313,-3.3542554606914843
314,-3.8829805848058134
315,-2.257532362957429
316,-4.407046188299312
317,-4.888131229996897
318,-6.497855968084206
319,-7.496632280979334
320,-5.388197350886706
321,-6.0177315553616015
322,-5.558606459775676
323,-3.8655883427894633
324,-4.2799593221855226
325,-5.028030745048903
326,-4.423712719146946
327,-4.440933391960995
328,-6.153867059548366
329,-3.551410671337874
330,-6.359732265245715
331,-4.632532137682102
332,-3.2768536418641414
333,-3.024225108151959
334,-5.054312631064414
335,-3.0828401641415217
336,-3.917468491635274
337,-3.776411132289363
338,-7.371291376981585
339,-5.103246399781001
340,-4.642784397855373
341,-2.3383095144523507
342,-4.815274189172747
343,-6.283417793378506
344,-4.927494354785346
345,-5.136110081676013
346,-4.086126604916886
347,-2.3566854307350846
348,-6.9390591721693955
349,-0.7106015738254854
350,-6.52906026151347
351,-1.95828959524734
352,-6.512560564563373
353,-4.453370171753711
354,-3.8995720325332357
355,-0.6398255604391547
356,-1.6487302290764765
357,-5.2647164426953985
358,-4.2569349280317095
359,-5.186614113847231
360,-4.62616765064291
361,-3.2957837395603526
362,-2.717706396165412
363,-3.83077696006968
364,-3.1111191847456805
365,-2.61220158860936
366,-2.741478703196714
367,-3.1408740198600897
368,-3.30401128572991
369,-3.8691172373198004
370,-1.8508173828966097
371,-3.0465334397210553
372,-0.8204299345570956
373,-3.233023316317743
374,-1.8834690862861212
375,-5.268940164010646
376,-2.9007153639207637
377,-2.938888312071417
378,-2.071398853099608
379,-4.066926938916096
380,-3.918373824679617
381,-1.985591345091228
382,-3.853404606712821
383,-0.7933655698645392
384,-3.7379903014500524
385,-3.467427249571031
386,-4.825273572214114
387,-3.2265909796836967
388,-1.944350238410137
389,-1.6963672638112959
390,-4.372352467361067
391,-1.402184949618401
392,-3.425166074220077
393,-2.8104428165001085
394,-2.137347967248184
395,-3.4922742721253064
396,-2.2882326537324706
397,-1.9152046120009576
398,-2.5399463411271235
399,-3.1063331740592552
400,-4.916183251173795
401,-1.702971200642815
402,-4.461868034665887
403,-3.754895450391448
404,-3.295793752804252
405,-0.377633209125559
406,-0.9250946717059776
407,1.0857543504706682
408,0.35168797490365744
409,-1.0493333903778677
410,-2.5278459076203954
411,-5.138390780523398
412,-1.4467784641811088
413,-1.5686350152733812
414,-0.2598521955236679
415,-0.17523704821001562
416,-2.2991060801162586
417,-3.146555659329774
418,-2.2664678525761586
419,-3.9761236869149252
420,-3.2290881345030567
421,-4.7009385949624605
422,-3.615831011383773
423,-3.864942223390452
424,-2.454905785918646
425,-2.6581624477339636
426,-1.871443116972717
427,-0.38262875864024526
428,-0.5316563284158002
429,-1.0927462738067604
430,-1.4926517987973327
431,-2.0640921925659192
432,0.7539888363408638
433,-1.0432055534248024
434,-2.345450570214095
435,0.17528312071649843
436,-1.0177318655281136
437,-1.1194284096799993
438,-2.1400953765537967
439,-0.9446935007942159
440,-2.110418821903166
441,-1.362084258777009
442,-2.1075414128300443
443,-3.53973414961263
444,-0.919093096329564
445,-1.6951018309948376
446,-1.8096148404947021
447,-2.496778190975573
448,-1.1851530150491687
449,-0.47384378135466143
450,-1.277262489917927
451,-1.3443976130280415
452,-1.8061837324326646
453,-1.2620189737562422
454,-2.102376068997655
455,-1.6222875762722264
456,-0.9019828587746321
457,-2.6600982025901754
458,-4.575724445074956
459,-0.9019004232561132
460,0.1279510742742005
461,-2.331523733990439
462,-0.2121029606205358
463,-0.7585939675578341
464,-3.634561259405976
465,0.5980066580553611
466,2.2691735009951888
467,0.6081697156773256
468,-0.28589986088090313
469,-0.40271601016964986
470,-0.9154839032751294
