TAZ,atwork,TAZ,person_id,income_segment,workplace_taz
133,355.494,133,1180753,4,697
134,174.55599999999998,134,1180753,4,697
135,99.49,135,1180753,4,697
136,217.592,136,1180753,4,697
137,79.264,137,1180753,4,697
138,214.74599999999998,138,1180753,4,697
139,129.882,139,1180753,4,697
140,4.322,140,1180753,4,697
141,69.874,141,1180753,4,697
142,594.568,142,1180753,4,697
143,58.874,143,1180753,4,697
144,24.252000000000002,144,1180753,4,697
145,32.742000000000004,145,1180753,4,697
146,0.0,146,1180753,4,697
147,71.096,147,1180753,4,697
148,38.03,148,1180753,4,697
149,23.932000000000002,149,1180753,4,697
150,191.816,150,1180753,4,697
151,6.354,151,1180753,4,697
152,27.125999999999998,152,1180753,4,697
153,6.452,153,1180753,4,697
154,44.282,154,1180753,4,697
155,18.288,155,1180753,4,697
156,0.0,156,1180753,4,697
157,9.032,157,1180753,4,697
158,0.0,158,1180753,4,697
159,10.936,159,1180753,4,697
160,4.902,160,1180753,4,697
161,3.87,161,1180753,4,697
162,55.808,162,1180753,4,697
163,27.026,163,1180753,4,697
164,238.406,164,1180753,4,697
165,156.394,165,1180753,4,697
166,42.768,166,1180753,4,697
167,90.036,167,1180753,4,697
168,61.54600000000001,168,1180753,4,697
169,155.92000000000002,169,1180753,4,697
170,212.794,170,1180753,4,697
171,98.422,171,1180753,4,697
172,133.39000000000001,172,1180753,4,697
173,23.518,173,1180753,4,697
174,47.086,174,1180753,4,697
175,125.64200000000001,175,1180753,4,697
176,161.552,176,1180753,4,697
177,290.62,177,1180753,4,697
178,59.768,178,1180753,4,697
179,15.45,179,1180753,4,697
180,60.164,180,1180753,4,697
181,19.644,181,1180753,4,697
182,44.678000000000004,182,1180753,4,697
183,162.51,183,1180753,4,697
184,172.01,184,1180753,4,697
185,294.616,185,1180753,4,697
186,226.55800000000002,186,1180753,4,697
187,227.5,187,1180753,4,697
188,1828.1000000000001,188,1180753,4,697
189,6.29,189,1180753,4,697
190,132.612,190,1180753,4,697
191,24.352,191,1180753,4,697
192,657.794,192,1180753,4,697
193,245.66400000000002,193,1180753,4,697
194,840.9200000000001,194,1180753,4,697
195,11.062000000000001,195,1180753,4,697
196,49.646,196,1180753,4,697
197,131.43,197,1180753,4,697
198,178.03,198,1180753,4,697
199,1088.5079999999998,199,1180753,4,697
