alternative,utility
trip_id,387286909.0
655,-7.676015558093768
656,-5.292392810615606
657,-10.948882844838332
658,-7.07680633353542
659,-6.762860743088846
660,-6.627295083634554
661,-9.537471250660175
662,-9.83776874354095
663,-10.210836827815623
664,-5.941335702840106
665,-9.231139338528694
666,-6.574865006496629
667,-9.840047736206024
668,-6.7089093404356355
669,-9.224053348501283
670,-5.4191659644278
671,-5.191047639002422
672,-7.78164221165205
673,-6.029364799656287
674,-6.2770892531729015
675,-4.515113257434219
676,-3.523776682564364
677,-8.751865871742083
678,-5.309279455526618
679,-4.209592182334413
680,-6.455976742901643
681,-6.127022017118227
682,-5.536810782528588
683,-5.305566294635242
684,-7.966883412914822
685,-5.298105806844062
686,-4.2190057238350445
687,-6.220521868870818
688,-7.309539292229236
689,-6.038819836405905
690,-10.918554017145858
691,-6.2211951127053355
692,-6.70318703713191
693,-9.50429336876809
694,-9.950084312809306
695,-8.12207300001914
696,-10.304081756273657
697,-8.883485909546039
698,-10.407229016657809
699,-7.483956544891087
700,-9.32332255521748
701,-8.525073837358033
702,-11.357589040512657
703,-12.239487513771259
704,-11.289697888768517
705,-8.064228411485685
706,-9.291247721817047
707,-13.418251039293274
708,-9.190908850331013
709,-10.79550254953533
710,-13.123199973499757
711,-10.01827156177633
712,-10.727705559258446
713,-7.2342049529439025
714,-2.2347846338397046
715,-4.2131520199671595
716,-4.1182444222416565
717,-2.016541972951795
718,-3.560466756912395
719,-5.2025596507375775
720,-0.6927417164604508
721,-3.324493034719606
722,-2.306705712873642
723,-1.131076676275268
724,-3.3803114770260914
725,-3.4697109912465116
726,-6.880380271399429
727,-2.3114967332632883
728,-0.9417460828859117
729,0.3350021646311987
730,-5.447766143319595
731,0.26873873472721765
732,0.55843260385622
733,-1.9786592982674183
734,-3.0238226068176406
