dest_taz,utility
121,-4.367098352964202
122,-5.830377230024926
123,-3.9746281980404756
124,-5.290254005453626
125,-7.360964122506155
126,-8.863914134527349
127,-5.197684944750623
128,-5.91667755065745
129,-7.827400115613134
130,-4.5240230374138
131,-5.793730619732692
132,-5.525411003792563
133,-5.020731677987526
134,-4.569627282991125
135,-5.107052333844164
136,-7.973930630462361
137,-5.233267485003046
138,-4.360906018111065
139,-4.476348285744567
140,-8.25253756409735
141,-5.22985328762756
142,-3.055972613024638
143,-5.28378802861053
144,-8.860980172439788
145,-6.144474342710948
146,-9.71135779968753
147,-5.52144574861576
148,-6.456495706563922
149,-7.449958472181146
150,-4.327063272479733
151,-8.31312170187199
152,-7.043319775070304
153,-7.560339225173591
154,-7.316351305267735
155,-7.524700694864995
156,-9.407697428121118
157,-7.665485825603261
158,-9.78657516440215
159,-7.34077037427244
160,-9.208861726697265
161,-9.27460707905707
162,-5.934241528870293
163,-8.90474077527239
164,-4.348267896128488
165,-4.812075552154743
166,-7.0891689007852765
167,-5.449895077299835
168,-6.211762598332559
169,-5.614160154699837
170,-4.967664428281206
171,-5.243042005250891
172,-5.066845282260114
173,-6.676190168700723
174,-8.013044940511294
175,-5.134048717513144
176,-4.814812730816201
177,-4.304751242104453
178,-6.573056901802316
179,-7.822328951568816
180,-6.094340927447654
181,-7.568172395094664
182,-6.640343259289856
183,-5.53822137086843
184,-4.979723635532031
185,-5.039771094080325
186,-5.421878456797299
187,-4.657318190916097
188,-2.9383861246533716
189,-8.168005037195318
190,-9.737520815492154
191,-7.566689524098065
192,-3.5731559879665475
193,-6.103859437605367
194,-5.365761596413436
195,-9.062512651377801
196,-6.400014762553674
197,-5.204811658334295
198,-6.522111599433181
199,-2.995704151992153
200,-2.2174371083689266
201,-4.278355558379201
202,-5.672633392437376
203,-3.9555286932238722
204,-5.4175475967717395
205,-7.416894141179512
206,-9.406148586874933
207,-5.530341546365659
208,-3.8189500110063843
209,-8.551822901142021
210,-4.549771000960572
211,-3.6238249217477785
212,-2.3305611354741496
213,-5.277410278945629
214,-6.327786271456714
215,-5.355163604792283
216,-3.7017332228064994
217,-6.4821465734513914
218,-4.564327484991841
219,-5.304508289920506
220,-8.053456288435545
221,-6.789789337602889
222,-6.540287795754212
223,-7.192163314068247
224,-5.042149774776342
225,-6.554837276034148
226,-6.478516040668437
227,-9.330849647872826
228,-10.469860059961666
229,-8.647405385796082
230,-4.3362862629511
231,-8.232812315245921
232,-7.977406579369198
233,-5.319293217869455
234,-2.420860025589004
235,-4.430029316196247
236,-5.480629877879904
237,-4.265277057589293
238,-5.556638712579624
239,-3.8850967693696843
240,-3.5892487692901778
241,-7.590743463361283
242,-9.432995782974437
243,-7.57316283393841
244,-4.435555055822587
245,-7.530208483681451
246,-4.155172912405761
247,-9.118862496737261
248,-3.8342371803950055
249,-3.610489609351844
250,-4.492460525862896
251,-2.9767604209301526
252,-8.872782298046026
253,-7.909012102846207
254,-7.568559431159553
255,-4.91531957921429
256,-7.200129143609198
257,-3.379991159912586
