TAZ,utility
176,-1.2864031965393998
177,-0.3134026058820494
178,-0.590979476269859
179,-0.3776053625560625
180,-0.9288497508164664
181,-0.6644965042612929
182,-0.6061437103302154
183,-0.4072254951265526
184,-0.053374756585720995
185,-0.2174756498451682
186,-0.23532340840259902
187,-0.6713893695872075
188,-2.2633472328540325
189,-0.7348908019651477
190,-2.5437896955290134
191,-0.794581607983126
192,-0.23622764106791916
193,-0.3540304380028614
194,-0.29473998626303555
195,-0.4129222286755745
196,-0.18997411384532104
197,-0.6128110727386655
198,-0.24573489885319066
199,-1.3119075101290152
200,-0.9001690867836842
201,0.12762068098554025
202,0.14109651279535917
203,-0.517786591819978
204,-0.19362986124526138
205,0.01837887437222019
206,-0.405618322431188
207,-0.43017515949865626
208,-0.6084954210472677
209,0.23022160451869222
210,-0.31232086172695883
211,0.4870004934574155
212,-0.31897694632702756
213,0.22042236570366036
214,0.1399472769444401
215,0.08641803816096782
216,-0.932895077097128
217,-0.3923534354373759
218,-0.6553005700492811
219,-0.15883608174940456
220,-0.14929202599247926
221,-0.6476211704687724
222,-0.7753809403064249
223,-0.5697368991875011
224,-0.7345208973549902
225,-0.7116558927957248
226,-0.2473137539224428
227,-0.6182073041790597
228,-4.79067529793212
229,0.04780520674793465
230,0.33264406956774994
231,-0.22309050050428425
232,-0.18189743218029353
233,0.007873357410359993
234,-1.6224225507040275
235,-0.6682702217314223
236,-0.1421693170269922
237,0.49071712294316683
238,0.08020253794750598
239,-1005.8379399521864
240,-0.07173171248022214
241,-0.4031095370916118
242,-0.7621375754790716
243,-0.5874517343706867
244,0.13714408679136803
245,-0.4344521720746348
246,0.5365477705773793
247,0.26540535821907785
248,-0.5196957852202324
249,0.28522741461988943
250,0.2531151106203726
251,-0.46552200981455716
252,0.527916175372118
253,-0.22320547553300685
254,0.6924702117968122
255,0.2236477810960622
256,-0.11312882054915008
257,-0.5622677893246735
258,0.03713817080790349
259,-0.13591488262042706
260,0.8177491793930844
261,-0.055576322359918606
262,0.016219910800286286
263,-0.20276428233930055
264,-0.15596189379909386
265,-0.7190328848842418
266,0.306890811235184
267,-0.15791159406610866
268,0.1072242159511907
269,0.09896074393943
270,-0.40572296936632224
271,-0.2070584466166503
272,-0.3106310149581075
273,-0.19265893023610925
274,0.13594586273723586
275,0.2190364849121833
276,-0.46345408123067955
277,0.41602377266919266
278,0.0949039432438159
279,-0.1868656614693247
280,-0.06469024686576219
281,-0.048514899998161276
282,-0.5898365366064686
283,-0.021809142864196218
284,-0.1530538938370789
285,-0.13764558767370794
286,0.49231408235315843
287,-0.37481535064686167
288,0.4210309101523517
289,0.5816265126776043
290,-0.5957931247881749
291,-0.4994666350886581
292,-0.44675711659156025
293,-0.17854362928866951
294,-0.2665919911252521
295,-0.5111615964753389
296,0.1028611379373876
297,-0.6180531727176595
298,0.7628718101783472
299,0.08139535970600953
300,0.08833173710429332
301,0.7065091319204111
302,0.4255451258047813
303,0.5512637974986996
304,0.4139928982897816
305,-0.6691804267420238
306,-0.14026571310230285
307,0.49678269827521504
308,0.6550866064710528
309,0.7242717196767998
310,-0.25751529777605153
311,-0.017597340731005495
312,0.8872633546293205
313,-0.39601179586796675
314,0.8725935214600229
315,-0.15217534319508896
316,-0.04284983721174118
317,0.6097639603523373
318,0.12166709310865276
319,0.04580933923114383
320,0.5536929162194211
321,0.08611911125907312
322,0.5397494900343647
323,0.5965956018680654
324,0.48782705960274075
325,1.0899612474423197
326,0.2892298015845336
327,0.9291525444277271
328,0.4161135093525825
329,0.9615867533516926
330,1.1860703060013797
331,1.126536977620134
332,1.0150373690030676
333,1.7772060414725948
334,1.517185121384892
335,1.2462775039538956
336,0.7628000052638662
337,-0.4630102528214586
338,0.17259571137121732
339,0.22390082146999024
340,0.1912565257850467
341,0.04593676049300299
342,0.35233253624325833
343,-0.06849494054884886
344,0.4819620285289892
345,0.610793544965035
346,0.006878148631664693
347,1.029667827688166
348,-1005.2817998563484
349,-1.1045882407469358
350,-0.258121353674186
351,0.4316926183264389
352,-1.9101265440586044
353,-0.44158759266595116
354,-1.9575333936900963
355,-0.5805787249670402
356,0.45929062910089424
357,0.8717503313135486
358,0.9604162957155742
359,0.5141318750454777
360,0.7265025918464962
361,1.095948337496365
362,0.784231169007902
363,0.114199401640394
364,-0.08655583232203146
365,-0.062466634239291885
366,0.5918500751683959
367,0.9665247033764235
368,0.48129802015396184
369,0.6398653200941844
370,0.5058543599085867
371,0.44136913039421444
372,0.666844195141227
373,0.1955810073470987
374,-0.21397564768965793
375,-0.17110049844290653
376,0.23483912044478217
377,0.19456341658095422
378,-0.6077480649522213
379,0.6656318832309287
380,0.22069436739899295
381,1.0070045093523383
382,0.16428137077882976
383,0.11440813595382515
384,0.8163502430999756
385,0.12222841349742275
