alternative,utility_1,utility_2
51,-0.6788197981387831,-0.9050743169844783
52,-1.5948296201165681,-1.9064415830755819
53,-1.8252159684308626,-2.2221851057045297
54,-7.213401926975475,-6.145132399065761
55,-7.059888191761331,-6.076967996707641
56,-5.547825815320496,-4.65025488047497
57,-3.7850201093328106,-2.972798357808556
58,-3.589595262109485,-2.904176542611046
59,-3.118239400822465,-2.518171197913671
60,-2.9647256952087866,-2.4500079539216038
61,-1.8537312162437525,-1.424363864725778
62,-1.42413362396345,-1.0801165903388728
63,0.5727312699423983,0.8406902278170741
64,0.7702411015864171,0.9528527924610578
65,-0.1197636721210582,-0.02249924218369037
66,-0.6266769744948414,-0.6147595296327019
67,-0.4359995605035314,-0.5332346336940444
68,-2.045645919101145,-2.2282384364068384
69,-2.276032132549362,-2.543982093968374
70,-8.252620955159156,-7.140689460499478
71,-6.740558578740178,-5.713976416936523
72,-6.587044843504176,-5.645811941908686
73,-4.782327995863603,-3.967896704359009
74,-4.511396328934142,-3.7823156426857385
75,-4.157458429006145,-3.5137282593473875
76,-3.6253906474361224,-3.0670109393989757
77,-2.6168663578040503,-2.1438370395361117
78,-2.0723311812032357,-1.675363017261608
79,-0.36678545960007725,-0.05516453497543761
80,-0.964701080248024,-0.7384274226234194
81,-1.1589827003047386,-1.0180563036174068
82,-1.6287322270519782,-1.596947889396889
83,-2.5447421839607065,-2.598315290401256
84,-3.4687649340287523,-3.607695484584482
85,-7.909383094628996,-6.753789581034297
86,-7.755869359414852,-6.685625178676178
87,-7.560444452816922,-6.617000473769425
88,-5.680220815179253,-4.8221275047396395
89,-5.526707109608816,-4.753964404425393
90,-4.794215133724475,-4.1068229451306975
91,-4.364617541487414,-3.7625758145152477
92,-3.241155671355625,-2.7151781082592987
93,-2.9879396632367055,-2.5473094803600578
94,-2.0778193939255125,-1.722536450365853
95,-1.9800118609226987,-1.710076184363074
96,-2.1371297015755495,-1.9763259009307519
97,-3.7135666030001477,-3.638120246410038
98,-3.943952951379308,-3.9538640388848374
99,-7.951970927706167,-6.752715360386411
100,-7.756545991421291,-6.6840892140668515
101,-7.485614324535069,-6.498508291762514
102,-5.722808648256424,-4.821053284091753
103,-5.190740866729643,-4.374336107821161
104,-4.560719080178264,-3.8296648378594282
105,-4.016183911262251,-3.361196840786237
106,-3.184041205791591,-2.6144015889702072
107,-3.726250649964637,-3.241958413362932
108,-2.1204072270026835,-1.7214622297179663
109,-1.9854359108187136,-1.6956123426811311
110,-3.249241129926215,-3.04477527555636
111,-4.140054422821246,-4.020946012506078
112,-7.93654413379971,-6.731046794609137
113,-7.665612740107457,-6.545480914241941
114,-7.512099307753544,-6.4773329260178745
115,-5.370739828692773,-4.421338817650838
116,-4.9411425096741075,-4.07710680850985
117,-4.196181731640252,-3.4084039585358816
118,-3.942965996584851,-3.240550507594617
119,-3.906249016427307,-3.2891957406367034
120,-3.752735579971675,-3.2210444464399917
121,-2.1097301744524133,-1.686451044202549
