TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment,TAZ,TAZ_chooser,school_segment,household_id
162,530.0,1,0,162,755,1,456291
163,769.0,1,0,163,755,1,456291
164,1091.0,1,0,164,755,1,456291
165,975.0,1,0,165,755,1,456291
166,1290.0,1,0,166,755,1,456291
167,908.0,1,0,167,755,1,456291
168,1276.0,1,0,168,755,1,456291
169,1166.0,1,0,169,755,1,456291
170,822.0,1,0,170,755,1,456291
171,404.0,1,0,171,755,1,456291
172,920.0,1,0,172,755,1,456291
173,528.0,1,0,173,755,1,456291
174,582.0,1,0,174,755,1,456291
175,122.0,1,0,175,755,1,456291
176,368.0,1,0,176,755,1,456291
177,993.0,1,0,177,755,1,456291
178,776.0,1,0,178,755,1,456291
179,990.0,1,0,179,755,1,456291
180,574.0,1,0,180,755,1,456291
181,757.0,1,0,181,755,1,456291
182,822.0,1,0,182,755,1,456291
183,988.0,1,0,183,755,1,456291
184,1367.0,1,0,184,755,1,456291
185,1132.0,1,0,185,755,1,456291
186,1141.0,1,0,186,755,1,456291
187,734.0,1,0,187,755,1,456291
188,146.0,1,0,188,755,1,456291
189,670.0,1,0,189,755,1,456291
190,110.0,1,0,190,755,1,456291
191,608.0,1,0,191,755,1,456291
192,1044.0,1,0,192,755,1,456291
193,903.0,1,0,193,755,1,456291
194,939.0,1,0,194,755,1,456291
195,880.0,1,0,195,755,1,456291
196,1075.0,1,0,196,755,1,456291
197,687.0,1,0,197,755,1,456291
198,944.0,1,0,198,755,1,456291
199,322.0,1,0,199,755,1,456291
200,477.0,1,0,200,755,1,456291
201,1403.0,1,0,201,755,1,456291
202,1472.0,1,0,202,755,1,456291
203,749.0,1,0,203,755,1,456291
204,1078.0,1,0,204,755,1,456291
205,1379.0,1,0,205,755,1,456291
206,854.0,1,0,206,755,1,456291
207,826.0,1,0,207,755,1,456291
208,638.0,1,0,208,755,1,456291
209,1373.0,1,0,209,755,1,456291
210,772.0,1,0,210,755,1,456291
211,1704.0,1,0,211,755,1,456291
212,747.0,1,0,212,755,1,456291
213,1325.0,1,0,213,755,1,456291
214,1266.0,1,0,214,755,1,456291
215,1195.0,1,0,215,755,1,456291
216,440.0,1,0,216,755,1,456291
217,777.0,1,0,217,755,1,456291
218,593.0,1,0,218,755,1,456291
219,1011.0,1,0,219,755,1,456291
220,1024.0,1,0,220,755,1,456291
221,643.0,1,0,221,755,1,456291
222,571.0,1,0,222,755,1,456291
223,713.0,1,0,223,755,1,456291
224,609.0,1,0,224,755,1,456291
225,668.0,1,0,225,755,1,456291
226,1115.0,1,0,226,755,1,456291
227,843.0,1,0,227,755,1,456291
228,8.0,1,0,228,755,1,456291
229,1146.0,1,0,229,755,1,456291
230,1571.0,1,0,230,755,1,456291
231,871.0,1,0,231,755,1,456291
232,906.0,1,0,232,755,1,456291
233,1001.0,1,0,233,755,1,456291
234,199.0,1,0,234,755,1,456291
235,510.0,1,0,235,755,1,456291
236,823.0,1,0,236,755,1,456291
237,1535.0,1,0,237,755,1,456291
238,1032.0,1,0,238,755,1,456291
