TAZ,university,gradeschool,highschool
688,0,66,37
689,0,18,0
690,0,23,26
691,0,16,0
692,0,15,0
693,0,24,0
694,0,16,0
695,0,42,0
696,0,18,0
697,0,1,0
698,0,54,92
699,0,24,0
700,0,99,0
701,0,33,0
702,0,85,0
703,0,22,0
704,0,2,0
705,159,45,0
706,0,4,0
707,0,79,0
708,0,46,90
709,0,54,0
710,0,41,0
711,0,30,0
712,0,7,0
713,0,14,0
714,0,1,0
715,0,60,0
716,0,21,0
717,0,52,69
718,0,35,0
719,0,48,0
720,207,36,0
721,0,42,0
722,0,62,0
723,0,24,0
724,0,40,0
725,0,25,0
726,0,81,0
727,0,28,77
728,0,45,0
729,0,45,0
730,0,22,0
731,0,14,0
732,0,21,44
733,0,34,0
734,0,38,10
735,0,11,45
736,0,43,0
737,0,28,0
738,0,45,0
739,0,28,0
740,0,22,130
741,0,52,0
742,0,220,0
743,0,62,0
744,0,36,0
745,0,17,0
746,0,64,0
747,0,17,0
748,0,13,0
749,0,20,0
750,110,7,0
751,0,1,0
752,0,4,0
753,0,22,0
754,473,11,0
755,0,71,0
756,0,48,64
757,0,19,0
758,0,32,50
759,0,33,0
760,0,35,0
761,0,54,0
762,0,28,0
763,0,34,0
764,0,31,0
765,0,12,42
766,0,11,0
767,0,43,63
768,0,43,0
769,0,54,0
770,0,33,0
771,0,21,0
772,0,31,0
773,0,45,0
774,0,39,12
775,0,56,45
776,0,27,0
777,0,17,0
778,0,51,0
779,0,21,0
780,0,13,0
781,0,9,0
782,0,35,0
783,0,8,0
784,0,33,0
785,0,41,51
786,0,22,0
787,0,31,0
788,0,37,0
789,0,14,0
790,0,54,0
791,0,19,0
792,0,24,0
793,0,36,0
794,0,15,0
795,0,28,0
796,0,33,0
797,0,41,0
798,0,16,0
799,0,21,0
800,0,40,114
801,0,85,0
802,0,36,0
803,0,2,0
804,0,12,0
805,0,42,0
806,0,65,0
807,0,29,0
808,0,18,0
809,0,9,56
810,0,27,0
811,638,28,0
812,0,13,0
813,0,22,0
814,0,18,0
815,0,44,0
816,0,18,0
817,0,86,0
818,0,23,70
819,0,14,0
820,0,55,26
821,534,16,0
822,0,7,0
823,0,28,40
824,0,26,0
825,0,51,0
826,0,27,0
827,0,23,0
828,0,59,0
829,0,26,0
830,0,45,0
831,0,21,0
832,0,26,0
833,0,14,0
834,0,24,49
835,0,56,8
836,0,26,0
837,0,62,0
838,0,25,0
839,0,35,0
840,0,18,0
841,0,23,0
842,0,17,0
843,0,15,0
844,0,33,0
845,0,28,0
846,0,19,0
847,0,23,0
848,0,26,0
849,0,29,89
850,0,23,0
851,0,10,0
852,0,30,0
853,0,35,0
854,0,65,0
855,0,48,0
856,0,48,0
857,0,22,54
858,0,51,8
859,0,27,0
860,0,41,0
861,0,42,0
862,0,38,0
863,0,29,0
864,0,25,74
865,0,18,0
866,0,11,0
867,0,15,0
868,0,23,0
869,0,19,0
870,0,29,0
871,0,35,0
872,0,68,0
873,0,29,0
874,0,0,0
875,0,20,0
876,0,22,0
877,0,34,0
878,0,71,0
879,0,45,0
880,0,51,0
881,0,25,0
882,0,30,0
883,0,3,0
884,0,6,0
885,123,13,62
886,0,28,0
887,0,13,47
888,0,63,104
889,0,32,0
890,0,72,0
891,0,71,0
892,0,53,0
893,0,30,0
894,0,37,0
895,0,87,0
896,0,12,126
897,0,35,0
898,0,35,0
899,0,73,0
900,0,53,0
901,0,38,0
902,114,16,0
903,0,25,0
904,0,80,0
905,0,80,0
906,0,52,0
907,0,15,0
908,0,15,0
909,0,18,0
910,0,29,0
911,27,5,0
912,0,13,0
913,0,15,0
914,0,20,11
915,0,3,0
916,0,5,8
917,0,51,51
918,0,31,0
919,0,4,0
920,0,13,12
921,0,13,0
922,0,23,0
923,0,95,0
924,113,62,0
925,0,75,17
926,0,72,0
927,0,41,0
928,0,58,0
929,0,57,0
930,0,16,0
931,0,32,0
932,0,37,0
933,0,94,0
934,0,58,0
935,0,31,0
936,0,22,0
937,0,15,0
938,0,24,0
939,0,12,0
940,0,18,0
941,0,15,0
942,0,8,0
943,0,19,143
944,0,15,0
945,0,10,0
946,474,30,0
947,0,116,0
948,0,27,0
949,0,17,0
950,0,19,0
951,0,18,0
952,0,23,0
953,0,36,0
954,0,16,69
955,0,16,0
956,0,16,21
957,0,17,0
958,0,3,0
959,0,25,0
960,0,24,0
961,147,27,0
962,0,44,0
963,0,22,70
964,0,54,0
965,0,8,0
966,0,0,0
967,0,0,0
968,0,17,0
969,0,5,0
970,0,14,0
971,0,3,0
972,0,32,0
973,0,4,0
974,0,13,0
975,0,17,129
976,0,46,0
977,0,68,0
978,0,59,0
979,93,36,0
980,0,19,0
981,0,12,0
982,0,27,0
983,0,33,0
984,0,3,0
985,0,16,0
986,0,21,0
987,0,22,0
988,0,26,0
989,0,33,38
990,0,37,0
991,0,40,9
992,0,14,0
993,0,24,0
994,0,22,0
995,0,28,0
996,0,35,0
997,0,5,0
998,0,14,0
999,0,9,0
1000,0,13,0
1001,0,24,0
1002,0,9,0
1003,0,9,0
1004,0,10,0
1005,0,3,0
1006,0,25,0
1007,8,31,0
1008,0,106,0
1009,2,19,0
1010,0,17,0
1011,0,22,0
1012,0,25,0
1013,0,25,0
1014,0,5,0
1015,0,22,0
1016,0,23,0
1017,0,17,0
1018,182,22,182
1019,1116,16,0
1020,35,15,0
1021,0,14,0
1022,0,20,0
1023,0,17,0
1024,0,14,0
1025,0,12,21
1026,0,9,0
1027,0,6,0
1028,0,5,0
1029,12,6,0
1030,0,7,0
1031,0,22,0
1032,0,9,0
1033,0,20,0
1034,0,19,0
1035,0,12,35
1036,0,15,0
1037,0,14,0
1038,0,11,0
1039,0,31,0
1040,0,7,0
1041,0,10,0
1042,0,3,60
1043,0,5,0
1044,0,11,0
1045,0,6,0
1046,0,3,0
1047,0,10,0
1048,0,14,0
1049,0,25,0
1050,0,73,48
1051,0,11,0
1052,0,9,0
1053,0,14,0
1054,0,23,0
1055,0,52,0
1056,0,48,0
1057,0,67,0
1058,0,71,0
1059,0,35,0
1060,0,79,0
1061,0,93,0
1062,0,9,0
1063,0,90,0
1064,0,51,0
1065,0,91,36
1066,0,45,0
1067,0,128,87
1068,0,57,0
1069,0,51,0
1070,0,32,0
1071,0,70,0
1072,397,53,21
1073,0,40,0
1074,0,41,0
1075,0,23,0
1076,0,11,0
1077,0,23,0
1078,0,15,0
1079,0,45,93
1080,0,44,0
1081,0,45,0
1082,0,42,0
1083,0,140,0
1084,0,29,0
1085,0,32,0
1086,0,24,0
1087,0,14,0
1088,0,19,0
1089,0,17,0
1090,0,6,11
1091,0,12,32
1092,0,0,0
1093,0,9,0
1094,0,50,0
1095,0,15,0
1096,0,48,0
1097,15,8,0
1098,0,200,0
