TAZ,work_low,work_med,work_high,work_veryhigh
1193,14,18,17,12
1194,8,16,6,13
1195,10,18,17,23
1196,1,3,3,5
1197,15,21,15,24
1198,21,36,17,28
1199,23,31,41,39
1200,11,10,8,11
1201,8,4,2,1
1202,5,1,3,3
1203,7,20,21,23
1204,6,13,23,21
1205,8,11,15,14
1206,4,6,10,11
1207,4,1,5,4
1208,6,9,7,11
1209,3,7,6,8
1210,4,4,6,4
1211,20,64,76,98
1212,9,19,13,31
1213,2,6,7,6
1214,1,0,1,3
1215,12,14,8,16
1216,0,4,3,5
1217,3,2,6,3
1218,1,1,3,3
1219,7,10,14,12
1220,1,4,8,10
1221,0,4,3,2
1222,3,9,7,12
1223,19,32,40,32
1224,18,23,28,31
1225,6,10,4,10
1226,7,9,7,10
1227,0,3,1,3
1228,1,3,5,1
1229,8,17,21,16
1230,2,14,11,17
1231,5,10,11,10
1232,3,21,11,13
1233,3,6,10,13
1234,7,16,18,15
1235,7,16,11,9
1236,3,4,3,3
1237,1,2,2,3
1238,9,18,22,32
1239,0,2,1,1
1240,6,9,7,9
1241,18,21,29,27
1242,27,56,64,73
1243,30,50,40,52
1244,5,10,13,11
1245,5,1,4,6
1246,21,34,37,43
1247,6,19,18,35
1248,3,18,29,45
1249,8,34,37,50
1250,19,38,64,64
1251,5,7,11,26
1252,23,57,80,91
1253,1,4,3,1
1254,2,2,5,6
1255,4,3,6,6
1256,5,3,10,10
1257,5,9,10,13
1258,1,3,4,0
1259,11,18,13,13
1260,9,18,13,14
1261,4,7,10,4
1262,15,38,34,38
1263,14,32,34,23
1264,9,15,12,16
1265,33,46,46,56
1266,8,10,5,10
1267,10,11,16,17
1268,15,19,21,32
1269,19,31,40,48
1270,21,48,65,66
1271,2,18,17,18
1272,7,15,27,25
1273,7,20,17,14
1274,20,38,29,25
1275,3,5,6,6
1276,0,4,8,6
1277,1,2,5,8
1278,3,6,7,7
1279,19,45,52,74
1280,23,50,52,56
1281,16,33,37,33
1282,17,22,14,21
1283,11,28,25,30
1284,39,78,98,92
1285,6,16,20,19
1286,3,4,4,6
1287,3,10,11,12
1288,18,23,26,19
1289,20,35,24,25
1290,6,15,9,11
1291,11,22,21,14
1292,55,90,191,173
1293,9,8,10,18
1294,27,52,47,63
1295,10,25,27,37
1296,12,11,8,15
1297,13,28,33,39
1298,18,66,56,64
1299,27,59,48,51
1300,5,6,7,9
1301,12,22,19,22
1302,4,7,8,11
1303,0,1,3,3
1304,6,15,9,9
1305,17,41,42,50
1306,16,49,49,49
1307,10,20,13,21
1308,4,9,12,19
1309,3,7,10,10
