TAZ,university,gradeschool,highschool
819,0,88,0
820,0,127,17
821,0,28,0
822,0,55,8
823,0,22,39
824,0,36,29
825,0,106,43
826,0,102,0
827,0,77,0
828,0,68,0
829,0,49,8
830,0,64,9
831,0,76,74
832,0,62,10
833,0,125,10
834,0,36,10
835,0,89,48
836,0,12,0
837,0,26,0
838,0,39,0
839,0,384,76
840,0,360,92
841,0,449,164
842,0,878,214
843,0,78,36
844,0,15,0
845,0,45,47
846,0,50,14
847,0,75,7
848,0,69,9
849,0,33,0
850,0,77,52
851,0,58,26
852,0,87,11
853,0,133,13
854,0,123,0
855,0,150,12
856,0,131,41
857,0,52,0
858,0,6,0
859,0,15,10
860,0,61,15
861,0,17,7
862,0,88,37
863,0,41,23
864,0,98,19
865,0,92,15
866,0,27,0
867,0,8,6
868,0,21,15
869,0,9,5
870,0,6,29
871,0,17,10
872,0,184,7
873,0,65,29
874,0,28,14
875,0,80,20
876,3306,80,23
877,0,65,33
878,0,25,42
879,0,53,0
880,0,36,0
881,1226,89,15
882,0,1132,329
883,0,45,11
884,0,217,33
885,0,41,0
886,0,11,0
887,0,109,8
888,0,63,0
889,0,74,15
890,0,91,21
891,0,193,7
892,0,70,22
893,0,66,5
894,0,54,52
895,0,97,12
896,0,11,0
897,0,120,41
898,0,178,0
899,0,119,56
900,0,235,38
901,0,152,71
902,0,125,13
903,0,94,13
904,0,137,80
905,0,258,62
906,0,95,0
907,0,70,6
908,0,313,43
909,0,105,33
910,0,62,18
911,0,11,15
912,0,40,4
913,0,21,33
914,0,69,13
915,0,79,5
916,0,57,7
917,0,32,27
918,0,82,21
919,0,65,35
920,0,27,5
921,0,60,10
922,0,90,17
923,0,48,0
924,0,68,25
925,0,85,8
926,0,111,43
927,0,48,43
928,0,106,22
929,0,5,0
930,0,79,19
931,0,74,17
932,0,0,0
933,0,46,10
934,0,19,0
935,0,4,0
936,0,19,2
937,0,12,0
938,0,40,18
939,0,27,0
940,0,27,17
941,0,115,60
942,0,126,71
943,0,152,15
944,0,63,18
945,0,11,5
946,0,64,27
947,0,19,1
948,0,56,10
949,0,11,9
950,688,10,4
951,0,13,6
952,0,11,0
953,0,17,5
954,0,9,0
955,0,20,0
956,0,4,2
957,0,5,0
958,0,5,0
959,0,21,0
960,0,16,0
961,0,6,7
962,0,11,5
963,0,4,0
964,0,15,0
965,0,9,0
966,0,5,0
967,0,2,3
968,0,6,0
969,0,146,86
970,0,66,0
971,0,63,13
972,0,79,11
973,0,75,15
974,0,155,41
975,0,180,18
976,0,92,25
977,0,191,46
978,0,98,0
979,0,42,15
980,0,89,12
981,0,118,14
982,0,117,0
983,0,138,20
984,0,17,12
985,0,132,42
986,0,69,0
987,0,99,27
988,0,21,0
989,0,20,10
990,0,37,11
991,0,19,11
992,0,10,0
993,0,32,0
994,0,30,0
995,0,36,0
996,0,49,1
997,0,47,10
998,0,79,0
999,0,73,19
1000,0,79,10
1001,0,54,8
1002,0,92,22
1003,0,56,10
1004,0,117,16
1005,0,18,7
1006,0,150,17
1007,0,119,36
1008,0,37,0
1009,0,94,44
1010,0,0,5
1011,0,244,61
1012,0,223,63
1013,0,51,12
1014,0,71,10
1015,0,15,0
1016,1817,62,2
1017,0,16,0
1018,0,11,42
1019,0,17,4
1020,0,32,5
1021,0,12,0
1022,0,22,4
1023,0,18,15
1024,0,3,0
1025,0,4,0
1026,0,32,0
1027,0,51,10
1028,0,11,0
1029,0,18,0
1030,0,55,43
1031,0,94,9
1032,0,31,0
1033,0,92,23
1034,0,65,18
1035,0,86,6
1036,0,56,79
1037,0,93,11
1038,0,114,10
1039,0,93,0
1040,0,47,11
1041,0,50,0
1042,0,165,32
1043,0,98,13
1044,788,38,25
1045,0,46,17
1046,0,29,4
1047,0,54,31
1048,0,223,9
1049,0,94,36
1050,2233,13,6
1051,0,17,12
1052,0,13,0
1053,0,22,0
1054,0,27,6
1055,0,5,0
1056,0,5,0
1057,0,34,5
1058,0,5,0
1059,0,15,0
1060,0,5,4
1061,0,15,12
1062,0,13,0
1063,0,24,0
1064,0,16,4
1065,0,20,20
1066,0,15,1
1067,0,28,14
1068,0,1,0
1069,0,9,4
1070,0,25,4
1071,0,49,18
1072,0,32,5
1073,0,59,10
1074,0,5,0
1075,0,52,15
1076,0,151,3
1077,0,27,3
1078,0,16,0
1079,0,17,0
1080,0,29,11
1081,0,97,6
