TAZ,work_low,work_med,work_high,work_veryhigh
465,5,9,9,5
466,20,26,29,36
467,16,25,19,36
468,11,13,24,27
469,2,8,3,8
470,5,6,14,16
471,3,6,4,10
472,2,4,4,12
473,19,25,20,30
474,1,0,2,0
475,1,5,2,8
476,8,3,4,7
477,9,11,15,22
478,0,2,0,1
479,2,8,11,11
480,1,6,2,8
481,1,3,3,23
482,169,246,289,444
483,7,10,21,30
484,4,5,3,12
485,6,4,2,11
486,1,2,4,9
487,25,56,64,120
488,2,2,10,3
489,4,5,9,9
490,4,3,3,8
491,15,30,38,85
492,0,10,16,24
493,1,4,4,4
494,2,0,1,5
495,6,18,8,25
496,0,3,0,2
497,46,92,160,266
498,45,96,124,274
499,38,59,113,179
500,44,83,110,216
501,1,1,5,8
502,4,18,12,31
503,5,4,11,16
504,125,197,197,289
505,9,26,29,50
506,1,6,3,18
507,0,0,1,4
508,7,13,17,37
509,2,1,6,13
510,0,4,6,5
511,0,9,5,10
512,2,3,7,19
513,1,7,6,16
514,1,1,1,1
515,4,6,10,26
516,11,15,14,37
517,46,77,95,145
518,7,9,20,31
519,0,1,1,8
520,11,15,22,32
521,2,6,2,9
522,1,2,2,3
523,1,3,9,3
524,11,27,28,74
525,39,76,91,173
526,51,78,94,170
527,19,28,34,61
528,1,1,3,3
529,2,2,5,7
530,2,3,4,8
531,14,14,29,40
532,8,19,23,34
533,3,3,5,10
534,7,10,12,19
535,9,8,12,15
536,44,90,128,219
537,8,3,8,11
538,10,19,43,56
539,12,14,20,25
540,0,7,6,13
541,0,10,4,13
542,0,5,16,27
543,16,18,21,41
544,13,9,20,33
545,39,66,73,146
546,2,13,11,16
547,7,22,34,55
548,51,109,118,233
549,19,24,28,43
550,2,6,2,9
551,2,4,6,11
552,19,37,46,59
553,1,3,1,2
554,3,6,4,13
555,8,9,17,19
556,12,18,19,31
557,1,5,9,8
558,1,6,5,9
559,5,4,9,9
560,4,6,3,2
561,2,2,4,12
562,0,3,2,6
563,114,192,273,478
564,5,23,16,23
565,6,19,23,29
566,0,0,2,5
567,16,16,26,54
568,5,13,14,28
569,5,9,20,27
570,3,10,11,11
571,7,11,21,39
572,5,8,18,22
573,4,11,7,13
574,2,7,5,9
575,126,201,262,532
576,10,21,24,34
577,11,17,13,18
