participant_id,tour_id,household_id,person_id,participant_num
12587243203,125872432,1187148,3070061,3
19832054101,198320541,1862062,4837086,1
19832054102,198320541,1862062,4837104,2
19832054103,198320541,1862062,4837122,3
8526087201,85260872,793128,2079533,1
8526087202,85260872,793128,2079540,2
8526087204,85260872,793128,2079554,3
25801129301,258011293,2400543,6292958,1
25801129302,258011293,2400543,6292959,2
20333427102,203334271,1910078,4959368,1
20333427103,203334271,1910078,4959370,2
20333427101,203334271,1910078,4959372,3
12216612204,122166122,1153185,2979633,1
12216612208,122166122,1153185,2979641,2
12216612202,122166122,1153185,2979645,3
12216612205,122166122,1153185,2979649,4
12216612203,122166122,1153185,2979653,5
17281087401,172810874,1663019,4214899,1
17281087403,172810874,1663019,4214900,2
17281087402,172810874,1663019,4214901,3
17201141503,172011415,1655475,4195398,1
17201141502,172011415,1655475,4195399,2
17201141501,172011415,1655475,4195400,3
4731807604,47318076,447818,1154103,1
4731807605,47318076,447818,1154107,2
2709376002,27093760,259748,660811,1
2709376006,27093760,259748,660814,2
2709376008,27093760,259748,660817,3
2709376005,27093760,259748,660820,4
2709376003,27093760,259748,660832,5
24713325501,247133255,2303451,6027640,1
24713325502,247133255,2303451,6027641,2
17807527805,178075278,1710502,4343293,1
17807527803,178075278,1710502,4343295,2
17807527802,178075278,1710502,4343297,3
5940315603,59403156,553063,1448855,1
5940315602,59403156,553063,1448856,2
5940315601,59403156,553063,1448857,3
4468665301,44686653,426236,1089918,1
4468665302,44686653,426236,1089919,2
4468665304,44686653,426236,1089921,3
15985175801,159851758,1539141,3898823,1
15985175803,159851758,1539141,3898824,2
21515854401,215158544,2022982,5247769,1
21515854402,215158544,2022982,5247772,2
21515854403,215158544,2022982,5247778,3
17636401402,176364014,1698058,4301560,1
17636401401,176364014,1698058,4301561,2
8355830202,83558302,778677,2038006,1
8355830201,83558302,778677,2038007,2
5950418202,59504182,554325,1451313,1
5950418203,59504182,554325,1451317,2
5950418201,59504182,554325,1451321,3
387373803,3873738,41525,94483,1
387373804,3873738,41525,94484,2
387373805,3873738,41525,94485,3
387374201,3873742,41525,94481,1
387374202,3873742,41525,94482,2
387374204,3873742,41525,94484,3
387374205,3873742,41525,94485,4
10470159202,104701592,966740,2553696,1
10470159201,104701592,966740,2553697,2
8523159402,85231594,793406,2078818,1
8523159401,85231594,793406,2078819,2
8523159404,85231594,793406,2078821,3
8523159408,85231594,793406,2078824,4
8523159403,85231594,793406,2078825,5
13616040003,136160400,1283239,3320989,1
13616040004,136160400,1283239,3320991,2
13612391202,136123912,1283085,3320093,1
13612391203,136123912,1283085,3320094,2
13612391201,136123912,1283085,3320095,3
8232051002,82320510,767764,2007815,1
8232051003,82320510,767764,2007816,2
8232051001,82320510,767764,2007817,3
1996009201,19960092,192326,486831,1
1996009202,19960092,192326,486832,2
1996009204,19960092,192326,486834,3
8162536301,81625363,761763,1990862,1
8162536302,81625363,761763,1990863,2
14986038602,149860386,1454263,3655130,1
14986038604,149860386,1454263,3655133,2
20721622903,207216229,1947187,5054052,1
20721622901,207216229,1947187,5054054,2
5873559003,58735590,546522,1432572,1
5873559005,58735590,546522,1432573,2
5873559004,58735590,546522,1432574,3
2582529803,25825298,248728,629883,1
2582529802,25825298,248728,629884,2
17700050402,177000504,1703105,4317077,1
17700050401,177000504,1703105,4317085,2
17700050403,177000504,1703105,4317093,3
17700050404,177000504,1703105,4317101,4
17700050405,177000504,1703105,4317109,5
10730542202,107305422,994841,2617204,1
10730542203,107305422,994841,2617206,2
10887006201,108870062,1012518,2655367,1
10887006202,108870062,1012518,2655368,2
5813858901,58138589,540347,1418014,1
5813858902,58138589,540347,1418019,2
6757863601,67578636,632017,1648259,1
6757863602,67578636,632017,1648260,2
14545677901,145456779,1412585,3547726,1
14545677902,145456779,1412585,3547727,2
14545677903,145456779,1412585,3547728,3
24269574101,242695741,2264018,5919408,1
24269574102,242695741,2264018,5919409,2
10242638301,102426383,943624,2498204,1
10242638302,102426383,943624,2498205,2
27003556803,270035568,2516663,6586227,1
27003556801,270035568,2516663,6586233,2
26871688301,268716883,2502735,6554070,1
26871688302,268716883,2502735,6554072,2
9494937702,94949377,872146,2315837,1
9494937701,94949377,872146,2315838,2
18791720302,187917203,1776690,4583340,1
18791720304,187917203,1776690,4583343,2
18791720303,187917203,1776690,4583349,3
13430851002,134308510,1263575,3275816,1
13430851003,134308510,1263575,3275818,2
7577765001,75777650,712293,1848235,1
7577765005,75777650,712293,1848237,2
21735163402,217351634,2040163,5301249,1
21735163401,217351634,2040163,5301259,2
5260125202,52601252,491119,1282956,1
5260125203,52601252,491119,1282958,2
1572454001,15724540,145632,383525,1
1572454005,15724540,145632,383527,2
1572454002,15724540,145632,383528,3
12833513802,128335138,1209076,3130122,1
12833513801,128335138,1209076,3130125,2
12833513803,128335138,1209076,3130128,3
13722587101,137225871,1296125,3346972,1
13722587102,137225871,1296125,3346978,2
11986003005,119860030,1132164,2923417,1
11986003006,119860030,1132164,2923418,2
11986003004,119860030,1132164,2923420,3
17736991401,177369914,1706209,4326095,1
17736991403,177369914,1706209,4326096,2
17736991404,177369914,1706209,4326097,3
17736991402,177369914,1706209,4326098,4
16473686502,164736865,1582836,4017970,1
16473686501,164736865,1582836,4017972,2
