TAZ,university,gradeschool,highschool
836,0,7,1
837,0,34,4
838,0,1,0
839,0,6,0
840,0,4,2
841,0,8,6
842,0,6,0
843,0,6,0
844,0,9,5
845,0,9,1
846,0,9,4
847,0,6,0
848,0,3,1
849,0,4,7
850,0,6,0
851,0,0,0
852,0,3,0
853,0,8,0
854,0,11,1
855,0,17,4
856,0,18,1
857,0,3,3
858,0,3,2
859,0,4,1
860,0,2,0
861,0,4,0
862,0,6,0
863,29,7,0
864,0,6,3
865,0,1,6
866,0,1,0
867,0,4,3
868,0,2,1
869,0,4,1
870,7,10,0
871,0,8,0
872,0,24,11
873,0,5,2
874,0,0,0
875,0,5,1
876,0,5,0
877,0,4,3
878,21,9,4
879,0,5,0
880,0,8,4
881,0,4,0
882,0,6,0
883,0,2,1
884,0,1,0
885,23,4,4
886,0,4,0
887,0,6,0
888,0,14,3
889,0,7,1
890,0,13,2
891,0,16,0
892,0,12,0
893,0,9,3
894,0,8,4
895,0,15,11
896,0,8,2
897,0,9,0
898,0,9,0
899,0,8,2
900,0,10,1
901,0,2,0
902,26,2,0
903,0,8,1
904,0,13,2
905,0,9,2
906,0,12,1
907,0,3,0
908,0,0,1
909,0,4,2
910,0,7,1
911,6,1,0
912,0,1,1
913,0,6,1
914,0,4,0
915,0,3,1
916,0,3,0
917,0,18,0
918,0,5,1
919,0,2,0
920,0,4,0
921,0,2,0
922,0,4,4
923,0,6,0
924,0,16,3
925,0,25,1
926,18,4,8
927,0,10,4
928,0,12,0
929,0,14,0
930,0,5,0
931,0,4,0
932,0,6,0
933,0,15,5
934,0,17,0
935,0,3,0
936,0,2,1
937,0,2,0
938,0,6,1
939,0,1,0
940,0,5,0
941,0,3,0
942,0,0,0
943,0,4,3
944,0,5,0
945,0,1,0
946,101,1,4
947,0,3,1
948,0,5,0
949,0,6,4
950,0,8,0
951,0,7,3
952,0,7,0
953,0,2,2
954,0,6,0
955,13,2,6
956,0,5,0
957,0,5,1
958,0,2,0
959,0,2,0
960,3,7,0
961,8,7,1
962,0,2,4
963,0,0,1
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0,1,0
969,10,1,0
970,4,4,2
971,11,0,0
972,0,6,0
973,0,1,0
974,0,2,2
975,0,2,4
976,1,4,0
977,0,2,3
978,0,5,1
979,24,0,0
980,0,1,2
981,0,0,0
982,0,3,3
983,0,5,0
984,0,1,0
985,0,2,0
986,0,1,0
987,0,2,0
988,0,1,0
989,0,6,4
990,0,3,0
991,22,7,2
992,0,3,0
993,0,3,0
994,0,0,0
995,0,5,4
996,0,4,0
997,0,2,0
998,0,6,0
999,0,0,2
1000,0,2,0
1001,0,3,0
1002,0,2,0
1003,0,1,0
1004,0,2,1
1005,0,0,0
1006,0,2,1
1007,0,3,0
1008,0,1,0
1009,0,4,0
1010,0,0,2
1011,0,1,0
1012,0,3,1
1013,0,5,0
1014,0,1,0
1015,0,6,1
1016,0,1,0
1017,0,3,0
1018,68,8,14
1019,170,1,0
1020,2,2,0
1021,0,2,0
1022,0,5,0
1023,0,1,0
1024,0,1,0
1025,0,2,1
1026,0,8,2
1027,0,4,0
1028,0,3,0
1029,0,4,0
1030,0,0,0
1031,0,2,0
1032,0,2,1
1033,0,3,0
1034,0,2,1
1035,0,3,3
1036,0,4,0
1037,0,6,1
1038,0,6,2
1039,0,13,0
1040,0,0,0
1041,0,1,1
1042,0,1,3
1043,0,1,0
1044,0,1,2
1045,0,1,0
1046,0,1,0
1047,0,1,2
1048,0,1,2
1049,0,5,0
1050,0,10,1
1051,0,1,1
1052,0,2,2
1053,0,5,0
1054,0,3,0
1055,0,10,1
1056,0,11,0
1057,0,16,0
1058,0,17,3
1059,0,3,0
1060,0,12,1
1061,0,13,6
1062,0,1,1
1063,0,15,2
1064,0,17,1
1065,0,19,12
1066,0,10,0
1067,0,19,8
1068,0,13,0
1069,0,17,1
1070,0,2,3
1071,0,24,2
1072,114,20,1
1073,0,10,4
1074,0,11,3
1075,0,1,1
1076,0,3,1
1077,0,3,0
1078,0,2,4
1079,0,4,1
1080,0,5,0
1081,0,2,3
1082,0,4,1
1083,0,20,2
1084,0,2,0
1085,0,2,2
1086,0,5,0
1087,0,2,0
1088,0,2,0
1089,0,2,2
1090,0,0,2
1091,0,4,0
1092,0,0,0
1093,0,2,2
1094,0,11,0
1095,0,1,1
1096,0,10,3
1097,0,2,0
1098,0,13,2
1099,0,13,4
1100,0,5,0
1101,0,1,2
1102,0,1,0
1103,0,13,2
1104,0,4,0
1105,0,2,0
1106,0,9,3
1107,0,5,0
1108,0,11,2
1109,0,12,11
1110,0,8,1
1111,0,6,1
1112,0,5,9
1113,3,1,0
1114,0,26,0
1115,0,17,0
1116,10,1,2
1117,0,3,0
1118,0,6,1
1119,0,20,0
1120,0,20,3
1121,5,6,4
1122,7,7,0
1123,0,3,0
1124,0,7,1
1125,0,6,2
1126,0,2,0
1127,166,2,11
1128,0,7,1
1129,0,5,5
1130,0,5,0
1131,0,6,0
1132,0,7,3
1133,0,6,0
1134,0,0,0
1135,0,2,5
1136,0,2,0
1137,0,2,9
1138,0,13,2
1139,0,5,0
1140,0,2,6
1141,0,11,1
1142,0,4,1
1143,0,5,2
1144,0,5,0
1145,0,2,0
1146,0,3,2
1147,0,9,2
1148,0,0,0
1149,0,3,0
1150,0,7,1
1151,0,10,4
1152,0,9,2
1153,0,10,1
1154,5,6,1
1155,0,0,0
1156,0,4,0
1157,0,1,0
1158,0,7,3
1159,0,4,0
1160,13,11,5
1161,8,11,3
1162,0,0,0
1163,0,5,1
1164,0,10,1
1165,0,17,10
1166,0,25,6
1167,0,14,0
1168,0,9,3
1169,0,5,4
1170,0,10,0
1171,0,6,1
1172,0,12,3
1173,0,6,5
1174,0,6,2
1175,0,19,10
1176,0,70,24
1177,0,23,5
1178,0,69,22
1179,0,25,19
1180,0,19,11
1181,0,2,0
1182,0,22,2
1183,0,3,0
1184,0,6,2
1185,0,30,9
1186,0,29,12
1187,0,10,1
1188,0,12,0
1189,0,11,3
1190,0,6,0
1191,0,16,11
1192,0,7,3
1193,0,12,0
1194,0,5,6
1195,0,27,7
1196,0,10,1
1197,0,7,0
1198,178,4,1
1199,0,13,4
1200,0,14,4
1201,0,10,4
1202,0,6,0
1203,0,23,8
1204,0,1,6
1205,0,2,0
1206,0,15,1
1207,0,7,3
1208,0,5,1
1209,0,11,0
1210,0,12,2
1211,0,2,1
1212,0,5,0
1213,0,9,5
1214,0,3,0
1215,0,4,4
1216,0,5,0
1217,0,5,0
1218,0,2,0
1219,0,5,0
1220,0,7,1
1221,0,7,1
1222,37,1,0
1223,0,5,0
1224,0,0,2
1225,0,7,0
1226,0,7,5
1227,0,3,0
