TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment
393,1176.5529999999999,1,0
394,230.507,1,0
395,249.176,1,0
396,940.2449999999999,1,0
397,263.42,1,0
398,77.965,1,0
399,565.7299999999999,1,0
400,241.04499999999996,1,0
401,311.156,1,0
402,61.478,1,0
403,1158.513,1,0
404,47.626999999999995,1,0
405,39.501,1,0
406,632.628,1,0
407,319.876,1,0
408,133.532,1,0
409,207.50099999999998,1,0
410,675.768,1,0
411,315.66499999999996,1,0
412,660.789,1,0
413,188.211,1,0
414,814.8779999999998,1,0
415,4064.5589999999997,1,0
416,3776.4860000000003,1,0
417,1314.942,1,0
418,1522.891,1,0
419,3815.7990000000004,1,0
420,3422.053,1,0
421,1364.0330000000001,1,0
422,709.58,1,0
423,94.412,1,0
424,414.609,1,0
425,470.06299999999993,1,0
426,161.73499999999999,1,0
427,491.7109999999999,1,0
428,27.406999999999996,1,0
429,1092.8100000000002,1,0
430,2788.7029999999995,1,0
431,194.559,1,0
432,334.36499999999995,1,0
433,485.14399999999995,1,0
434,1528.2999999999997,1,0
435,2106.079,1,0
436,983.1129999999999,1,0
437,1413.798,1,0
438,399.23299999999995,1,0
439,1198.902,1,0
440,691.2509999999999,1,0
441,333.902,1,0
442,1224.887,1,0
443,1491.6059999999998,1,0
444,1975.663,1,0
445,108.66499999999999,1,0
446,849.261,1,0
447,526.43,1,0
448,1752.4809999999998,1,0
449,1331.806,1,0
450,1075.628,1,0
451,951.288,1,0
452,136.051,1,0
453,35.90099999999999,1,0
454,257.817,1,0
455,355.17299999999994,1,0
456,31.717999999999996,1,0
457,103.25499999999998,1,0
458,82.988,1,0
459,28.810999999999996,1,0
460,108.725,1,0
461,26.314999999999998,1,0
462,23.573999999999998,1,0
463,62.55299999999999,1,0
464,66.74399999999999,1,0
465,311.83099999999996,1,0
466,272.972,1,0
467,246.21799999999993,1,0
468,52.939,1,0
469,79.589,1,0
470,68.62899999999999,1,0
471,58.93599999999999,1,0
472,318.1449999999999,1,0
473,17.244,1,0
474,38.051,1,0
475,76.38199999999999,1,0
476,115.14599999999999,1,0
477,9.702,1,0
478,92.28099999999999,1,0
479,32.391,1,0
480,99.63099999999999,1,0
481,5080.409999999999,1,0
482,293.186,1,0
483,80.125,1,0
484,88.44699999999999,1,0
485,33.775,1,0
486,1357.637,1,0
487,104.94099999999999,1,0
488,69.08500000000001,1,0
489,48.263,1,0
490,498.35699999999997,1,0
491,151.57999999999998,1,0
492,52.272,1,0
493,45.392999999999994,1,0
494,211.11199999999997,1,0
495,13.226999999999999,1,0
496,3470.622,1,0
