label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28
i_tour_mode,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
tour_mode_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_auto,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_walk,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_walk_transit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
tour_mode_is_drive_transit,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_ride_hail,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
inbound,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
first_trip,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
last_trip,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_origin_terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_dest_terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total_terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dest_hourly_peak_parking_cost,5.5699024686582455,0.0,8.583806945366085,0.14861306221595258,0.8957456888098625,2.9463810005014537,4.848925636150784,24.748981135274327,0.0050626172486919994,2.435785272680964,107.81389914097012,50.48236989684389,116.79605931250357,0.14687755534028346,2.2102464794070875,7.804005984465263,5.294021542485053,1.9766130509695643,1.2740688656522303,1.311869686545155,57.379847152986024,70.94486028801794,254.44021983021457,4.4806810053865815,4.033491721949708,11.332680533382595,16.214142844039035,0.0
origin_hourly_peak_parking_cost,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528
origin_duration,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dest_duration,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
origin_parking_cost,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528
dest_parking_cost,5.5699024686582455,0.0,8.583806945366085,0.14861306221595258,0.8957456888098625,2.9463810005014537,4.848925636150784,24.748981135274327,0.0050626172486919994,2.435785272680964,107.81389914097012,50.48236989684389,116.79605931250357,0.14687755534028346,2.2102464794070875,7.804005984465263,5.294021542485053,1.9766130509695643,1.2740688656522303,1.311869686545155,57.379847152986024,70.94486028801794,254.44021983021457,4.4806810053865815,4.033491721949708,11.332680533382595,16.214142844039035,0.0
total_parking_cost,126.91050695519677,124.12555572086764,128.41745919355068,124.19986225197562,124.57342856527256,125.59874622111836,126.55001853894304,136.5000462885048,124.12808702949198,125.34344835720812,178.0325052913527,149.36674066928958,182.52358537711942,124.19899449853779,125.23067896057118,128.02755871310026,126.77256649211016,125.11386224635243,124.76259015369375,124.78149056414021,152.81547929736064,159.5979858648766,251.3456656359749,126.36589622356092,126.14230158184249,129.79189598755895,132.23262714288717,124.12555572086764
trip_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
