alternative,probability_1,probability_2,probability_3
136,3.0030964036493838e-05,3.0687107620782754e-06,9.058765711894681e-06
137,9.85867970038858e-06,4.442414064164799e-06,5.734475337469235e-06
138,1.6880531925663817e-07,7.747584171505738e-06,7.92495315382473e-05
139,3.431199275626416e-05,1.0665268715264674e-05,1.241487125294116e-05
140,3.666672638153114e-05,1.0047855316498407e-05,0.0001868362033742284
141,8.922327597827716e-06,3.1531232465264803e-06,2.775496806695395e-05
142,1.3036117015739712e-05,2.794716733888926e-06,5.438721704048314e-05
143,4.913771293934774e-06,2.3263971691958692e-06,8.767514515898215e-06
144,1.019085077428281e-05,2.859250986431267e-06,3.310263143610443e-05
145,1.4645893419315794e-05,3.937043314103248e-06,1.481252187553863e-05
146,3.200424074691413e-08,2.0154267289708613e-06,1.4771794162287267e-05
147,2.2012056968936115e-05,3.133114655209297e-06,1.5520286247286474e-05
148,1.729485692556259e-07,4.709239932951651e-06,9.53756032444294e-05
149,5.037192124410969e-08,2.2787192919361727e-06,1.6253781348678467e-06
150,1.243623966774573e-07,4.743092443028609e-06,2.539274402553298e-06
151,3.959333485976562e-07,6.092973864756747e-06,5.257257155789221e-05
152,2.5922571492560435e-07,2.49556242731608e-06,3.0562608545017685e-05
153,2.3536868704388496e-07,6.7216211940069564e-06,4.895885614096167e-05
154,1.4791368832445657e-06,8.741749114170497e-06,0.0004864888038781951
155,5.31473402679043e-08,2.456445218365396e-06,3.1779824820747146e-05
156,9.713221979686959e-08,1.91752860428469e-06,5.548887777924083e-07
157,2.1233679064880308e-07,2.5220261089557145e-06,4.909866095377359e-05
158,9.360854272911451e-08,2.7217005083263663e-06,7.020140221846186e-07
159,6.71242856019574e-08,2.7408706179535837e-06,1.5531844575291137e-05
160,3.0414114892901055e-07,4.029936261468214e-06,0.00017992745693024047
161,2.441053017292819e-07,3.209089013388253e-06,4.67691548596463e-05
162,9.531491390463916e-08,5.048768611120293e-06,1.8984240119767138e-05
163,1.1312776393994523e-07,2.526965202206214e-06,6.661253138174897e-07
164,9.503747900299782e-08,3.0248965785047466e-06,2.4939116433968437e-05
165,8.503260003671369e-08,1.9039287970306906e-06,9.671057866214254e-06
166,1.460286838227495e-07,2.952766134332207e-06,4.15926063358986e-05
167,1.1217475098163608e-07,1.9506678526931542e-06,2.2765766503852184e-05
168,5.437027882227857e-07,6.562056289090658e-06,0.00011179605909577646
169,1.4496610385497008e-07,9.522029890397775e-06,4.5655798809044555e-05
170,1.9741435299633225e-07,1.4472836406652283e-05,4.912686752196884e-05
171,9.935926691589963e-05,2.224300311166294e-05,0.00023514698430564064
172,0.000146079402658428,1.2892378687904258e-05,0.00016996471906788573
173,9.69113008966847e-05,1.5308483411549278e-05,0.00039603280042079057
174,2.1635701779052542e-05,7.414487525299136e-06,6.452558434612258e-05
175,2.603608976573104e-05,2.2393866482674054e-05,0.0001423819910141595
176,2.1632273162087038e-05,1.5724397250439497e-05,9.86120475379168e-05
177,1.6721580107587677e-05,1.0812564132385519e-05,4.959499686862338e-05
178,2.9091613275940458e-05,2.3392136484658454e-05,5.0977479496805776e-05
179,5.5288573259293e-05,8.477704884012403e-06,7.527817506912858e-05
180,0.0003385829119527586,1.767635642031471e-05,3.98841665044386e-05
181,9.021744660573548e-07,6.198517740785278e-06,1.6854801104957384e-06
182,2.0454821896890916e-06,2.308319113800487e-06,3.066592445247251e-06
183,2.782432949137531e-08,3.639109430380811e-06,6.298780691701305e-06
184,0.00013082226206289068,1.8901523177982566e-05,8.577499384933456e-05
185,4.585152722315996e-05,1.0267242475737995e-05,1.697694314389251e-05
186,1.54353083526926e-07,1.2007273427164769e-05,4.409899773762003e-05
187,3.564850435311818e-08,8.824262411683436e-06,6.772699382292974e-06
188,2.1466596883456768e-07,1.1043300103377965e-05,9.4752144378629e-05
189,6.002612797416933e-08,1.2750534571692066e-06,2.8847686500171786e-05
190,7.3685631125582215e-09,5.520950297190713e-06,8.831875796487505e-07
191,1.1039056265694852e-07,6.007907126934919e-07,7.478527646491084e-06
